id,work,status,increment02_delivery,remaining_evidence,hold_point,increment03_delivery,increment04_delivery
I01,"Terraform engine, schemas and mocked plans",CI_ENGINE_VALIDATED_NO_NATIVE_APPLY,Verifier now enumerates ten modules and ten roots and exports actual schemas when available.,"Current hosted CI validates committed provider locks, backend-disabled modules/roots, provider schemas and plan-only mocks; keep the toolchain pinned/reviewed and rerun on each release.",Before any native apply,Fresh verifier run again reports missing Terraform; download unsuccessful. No fake schemas or locks.,Actual toolchain retry: binary absent; official binary host could not resolve. Engine/provider schemas/locks/mocked plans remain not-run.
I02,Selected actual target tuple,TARGET_SELECTION_RECORD_IMPLEMENTED_DECISION_OPEN,"No invented firewall, product tuple, project or credentials.","Populate the target-selection assurance with the actual site/cell, installed hardware/product/API/provider/backend/feature/licence tuple, security-edge and management/OOB realization, restricted campaign/native API/observer/writer scopes, credential custody, evidence workspace, data restrictions, permitted/prohibited operations, cleanup/stop authority and current external target-contact authority.",Before target contact,Existing scope retained,Prior scope retained; no native qualification or activation claimed.
I03,Effective quarantine,ZIP_ASSURANCE_GATE_IMPLEMENTED_NATIVE_OPEN,Existing domain/workload source plus NSX gateway quarantine candidate; local kernel fixture exercises deny/reply paths.,"Populate current security-edge/ZIP assurance with native same-host/distributed bypass, policy precedence, identity/source preservation, session revocation and failure observations.",Before workload connection,Existing scope retained,Prior scope retained; no native qualification or activation claimed.
I04,EC/SE native security edge,ZIP_ASSURANCE_GATE_IMPLEMENTED_NATIVE_OPEN,Three native exact-route resources and one NSX-specific gateway deny component; disposable EC/SE packet fixture.,"Select the production EC/SE or distributed/shared realization and populate current pairwise authority, route/bypass, inspection/logging, management, HA/failure, capacity and equivalent-outcome evidence.",Before approved connectivity,Existing scope retained,Prior scope retained; no native qualification or activation claimed.
I05,Origin-specific service reply routes,SERVICE_REPLY_ASSURANCE_GATE_IMPLEMENTED_NATIVE_OPEN,"Exact fixture replies, missing-route failure and recovery exercised.","Populate current service-reply assurance for each exact service binding/origin/endpoint/address-family scope with entitlement/revocation, native forward/reply ownership, source validation, connected/summary/NAT/PBR/alternate-path exclusion, no-transit proof, missing-route/edge-failure/reverse-initiation tests, recovery, telemetry and survivor-capacity evidence.",Before shared-service use,Existing scope retained,Prior scope retained; no native qualification or activation claimed.
I06,"IPAM, DNS and bootstrap",AUTHORITATIVE_IPAM_DNS_AND_BOOTSTRAP_ASSURANCE_GATES_IMPLEMENTED_NATIVE_OPEN,Actual UDP/TCP/fallback DNS in isolated deterministic fixture; no real IPAM/DNS mutations.,"Populate current authoritative IPAM/DNS evidence and the bootstrap service assurance for the exact site/service/platform/bootstrap/address-family profile, including selected assignment/DHCP-metadata behavior, resolver/time/trust/artifact/telemetry/service-reply dependencies, restricted OOB/management execution, dependency-loss behavior, recoverable state and temporary-to-steady-state handover.",Before endpoint initialization,"Native RFC2136/TSIG candidate integration with exact scope, per-name tombstones, authority prerequisites and uncertain readback. IPAM remains external.",Prior scope retained; no native qualification or activation claimed.
I07,"Identity, keys, storage and protection",TRUST_STORAGE_PROTECTION_ASSURANCE_GATES_IMPLEMENTED_NATIVE_OPEN,Architecture references preserved; no new claims of backup or key integration.,"Populate current identity/crypto assurance for the exact trust/key profile and current storage lifecycle assurance for the exact storage profile; retain current backup/restore assurance separately. Native work still includes actual IAM/PAM/PKI/KMS implementation evidence, storage ownership/copy/hold/key-version and contention/failure observations, and a resource-specific sanitization receipt for each real release/reuse.",Before service promise,Actual routed TLS1.3 authentication/resource grants and credential withdrawal; not a PKI/KMS/backup implementation.,Prior scope retained; no native qualification or activation claimed.
I08,IPv6 native and packet extension,NATIVE_IPV6_ASSURANCE_GATE_IMPLEMENTED_NATIVE_OPEN,Dual-family offline graph retained; new Linux packet fixture explicitly IPv4-only.,"Populate current native IPv6 assurance for the selected site/service/platform/security-edge family mode, including addressing/local protocols, route/security parity, MTU/PMTU, required shared services, failure/recovery and operational acceptance; keep IPv6-only free of hidden IPv4 fallback or retain independent IPv4 evidence for dual-stack.",Before native IPv6 offer,Actual IPv6 loopback TLS and signed AAAA record transactions; routed packet fixture remains IPv4.,Prior scope retained; no native qualification or activation claimed.
I09,"Read-back, drift and uncertain operations",RECONCILIATION_ASSURANCE_GATE_IMPLEMENTED_NATIVE_OPEN,Read-only Neutron collector performs exact-ID two-read comparisons over verified HTTPS; local TLS tests passed.,"Populate current native reconciliation assurance with installed API/RBAC/default/version-token applicability, complete accepted task/entity scope, real writer fencing, current containment/quarantine, exact operation generation and an accountable data-safe reconciliation decision; add any required VM/Flow/route/composite-task profiles and execute repair/import only under a separate approved plan.",Before automated lifecycle use,Existing Neutron GET-only client now avoids ambient TLS keylogging; local tests passed. Other native collectors remain open.,NSX selected-object/intent-status GET reader; Nutanix v4.3 exact VPC/subnet/single-task GET reader; bounded stable observations and offline recovery holds; local HTTPS fault campaign. No native writes or live platform reads.
I10,Activation and initial operating readiness,ACTIVATION_ASSURANCE_GATE_IMPLEMENTED_NATIVE_OPEN,Safe commissioning hold points documented; no apply/activate automation or issued authorization.,"Populate current production activation assurance for the exact site/service/platform/workload/exposure scope with G0/G1/G2 prerequisites, applicable initial G4 recovery/operations readiness, valid operating authority, tested reversible G3 withdrawal, and post-activation entry/reply/dependency/telemetry evidence; execute activation only under the external authorized change.",Before production activation,Existing scope retained,Prior scope retained; no native qualification or activation claimed.
