decisionId,question,relatedGaps,requiredOwnerRoles,selectedValue,approval,requiredEvidence,document
D01,Site/cell actual topology,G02; G27,Capacity and platform owners; Site/platform architect,UNRESOLVED — actual site/authority input required,NOT ISSUED,As-built dependency map and witnessed failure coverage. Approved service envelope with binding bottleneck and growth trigger.,GM §4; QUAL §§2–5
D02,Zone-authority and co-residency,G10; G30,Security authority and platform architect; Security authority and service owners,UNRESOLVED — actual site/authority input required,NOT ISSUED,"Signed sharing matrix plus placement, migration and restart observations. Control allocation, residual gaps and formal decision references.",GM §4; QUAL §§2–5
D03,Fabric/multihoming/MTU,G04; G05,Network engineering; Network/platform engineering,UNRESOLVED — actual site/authority input required,NOT ISSUED,Approved route schedule and observed RIB/FIB comparison. Packet-size and link/peer-failure results for every offered path.,GM §4; QUAL §§2–5
D04,Isolated domain-to-ZIP handoff,G03; G06,Network and security-edge engineering; Security-edge engineering,UNRESOLVED — actual site/authority input required,NOT ISSUED,"Four-domain fixture with no shared-path bypass and exhausted-pool rejection. Bidirectional path traces, intended denials and failover/session evidence.",GM §4; QUAL §§2–5
D05,Actual vendor/provider tuples,G12; G13; G14; G18; G32,Nutanix platform owner; OpenStack platform owner; Platform and automation engineering; Platform engineering and architecture; VMware/NSX platform owner,UNRESOLVED — actual site/authority input required,NOT ISSUED,"Supported-operation matrix, actual handoffs, policy and failure results. Current vendor-backed low-level design plus route-propagation and Edge-failure tests. Default-policy, port authority, relocation, gateway and volume-isolation results. Witnessed lifecycle and failure reconciliation, not a provider-name checkbox. Dated compatibility record and qualified lifecycle results.",GM §4; QUAL §§2–5
D06,Management/bootstrap/trust,G09; G17; G23,"Foundation/management owner; Identity, PKI and key owners; Management and identity owners",UNRESOLVED — actual site/authority input required,NOT ISSUED,"Actual role/route review and approved production-path-loss exercise. Recovery from primary platform unavailability and revoked temporary access. Rotation, revocation and outage/restore results with retained-data recovery.",GM §4; QUAL §§2–5
D07,Offered families and service protocols,G07; G08; G22,Name/address service owner; Network/platform engineering; Shared-service architects,UNRESOLVED — actual site/authority input required,NOT ISSUED,"Positive/negative family-specific results; no fabricated IPv4 for IPv6-only. UDP, TCP and truncation/fallback checks plus forbidden-resolver denial. Service consumption and administrative-denial tests in failure conditions.",GM §4; QUAL §§2–5
D08,Storage/protection/recovery,G24; G25; G26,Backup and recovery owners; Continuity and data owners; Storage and data owners,UNRESOLVED — actual site/authority input required,NOT ISSUED,Foreign attachment/export denials and retained-copy disposal accounting. Recover useful test data and demonstrate isolation before reconnecting. Observed site/partition recovery with measured objectives and safe failback.,GM §4; QUAL §§2–5
D09,Delivery tooling and ownership,G16; G18; G19; G20; G21,Automation/platform owners; Existing service and platform owners; Platform and automation engineering; Provisioning and security-edge owners; Provisioning/service owners,UNRESOLVED — actual site/authority input required,NOT ISSUED,"Each dependency has an accepted handoff; no borrowed broad credentials. Witnessed lifecycle and failure reconciliation, not a provider-name checkbox. Interrupted-stage and failed-live-check exercises preserve unrelated services. No concurrent competing writers or duplicate allocation after timeout. Reviewed non-destructive plan, rollback boundary and service checks.",GM §4; QUAL §§2–5
D10,Service/capacity parameters,G27; G28,Capacity and platform owners; Service/data owners,UNRESOLVED — actual site/authority input required,NOT ISSUED,Approved service envelope with binding bottleneck and growth trigger. Approved values and test method; no unspecified production promise.,GM §4; QUAL §§2–5
D11,Qualification/operating authority,G29; G30; G31,Assurance engineering; Operations/service management; Security authority and service owners,UNRESOLVED — actual site/authority input required,NOT ISSUED,"All mandatory observations supported; blocked/not-run never count as pass. Control allocation, residual gaps and formal decision references. Accepted handover, credential review and scoped incident exercise.",GM §4; QUAL §§2–5
D12,Extension service scope,G33,Extension service owner,UNRESOLVED — actual site/authority input required,NOT ISSUED,Approved scope and complete applicable extension qualification.,GM §4; QUAL §§2–5
