assertion_id,requirement_id,source_requirement,assertion_focus,focus_semantics,source_sections,responsible_role,enforcement_location,implementation_disposition,artifacts,required_configuration,verification_procedures,verification_method,evidence_level,observed_native_evidence,remaining_dependency,applicability,allocation_status
ARCH-001/A01,ARCH-001,The hosting contract SHALL be vendor neutral and SHALL NOT require consumers to specify vendor-specific identifiers or topology objects.,The hosting contract SHALL be vendor neutral and SHALL NOT require consumers to specify vendor-specific identifiers or topology objects.,Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §2; RA §20,Architecture authority,Accepted service/profile and topology records; native domain/identity boundaries implement selected constraints,PARTIAL_DESIGN_AND_CANDIDATE,docs/architecture/RAD.md; docs/engineering/TAD.md; tools/input_review.py,Site engineering must name the actual native object/role/service and its accepted settings for: The hosting contract SHALL be vendor neutral and SHALL NOT require consumers to specify vendor-specific identifiers or topology objects.,CT-016; CT-017,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"No complete authoritative service/profile registry, tenant role enforcement or actual placement/edge evidence is supplied. Input screening covers only its enumerated examples and cannot accept the complete service.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
ARCH-002/A01,ARCH-002,Routine tenant and workload lifecycle operations SHOULD NOT require changes to physical leaf or spine configuration.,Routine tenant and workload lifecycle operations SHOULD NOT require changes to physical leaf or spine configuration.,Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §2; RA §20,Architecture authority,Accepted service/profile and topology records; native domain/identity boundaries implement selected constraints,PARTIAL_DESIGN_AND_CANDIDATE,docs/architecture/RAD.md; docs/engineering/TAD.md; tools/input_review.py,Site engineering must name the actual native object/role/service and its accepted settings for: Routine tenant and workload lifecycle operations SHOULD NOT require changes to physical leaf or spine configuration.,CT-071; CT-072,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"No complete authoritative service/profile registry, tenant role enforcement or actual placement/edge evidence is supplied. Input screening covers only its enumerated examples and cannot accept the complete service.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
ARCH-003/A01,ARCH-003,All inter-zone paths SHALL be explicit and SHALL traverse the applicable ZIP/security edge.,All inter-zone paths SHALL be explicit and SHALL traverse the applicable ZIP/security edge.,Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §2; RA §20,Architecture authority,Accepted service/profile and topology records; native domain/identity boundaries implement selected constraints,PARTIAL_DESIGN_AND_CANDIDATE,docs/architecture/RAD.md; docs/engineering/TAD.md; tools/input_review.py,Site engineering must name the actual native object/role/service and its accepted settings for: All inter-zone paths SHALL be explicit and SHALL traverse the applicable ZIP/security edge.,CT-003; CT-025,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"No complete authoritative service/profile registry, tenant role enforcement or actual placement/edge evidence is supplied. Input screening covers only its enumerated examples and cannot accept the complete service.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
ARCH-004/A01,ARCH-004,Management/OOB traffic SHALL be separated from tenant operational traffic and SHALL have independently controlled access paths.,Management/OOB traffic SHALL be separated from tenant operational traffic and SHALL have independently controlled access paths.,Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §2; RA §20,Architecture authority,Accepted service/profile and topology records; native domain/identity boundaries implement selected constraints,PARTIAL_DESIGN_AND_CANDIDATE,docs/architecture/RAD.md; docs/engineering/TAD.md; tools/input_review.py,Site engineering must name the actual native object/role/service and its accepted settings for: Management/OOB traffic SHALL be separated from tenant operational traffic and SHALL have independently controlled access paths.,CT-004; CT-026,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"No complete authoritative service/profile registry, tenant role enforcement or actual placement/edge evidence is supplied. Input screening covers only its enumerated examples and cannot accept the complete service.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
SCOPE-001/A01,SCOPE-001,"Every implementation SHALL publish its offered service classes, supported information categories, excluded capabilities and required qualification evidence before accepting a production request.","Every implementation SHALL publish its offered service classes, supported information categories, excluded capabilities and required qualification evidence before accepting a production request.",Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §2; RA §20,Architecture authority,Accepted service/profile and topology records; native domain/identity boundaries implement selected constraints,PARTIAL_DESIGN_AND_CANDIDATE,docs/architecture/RAD.md; docs/engineering/TAD.md; tools/input_review.py,"Site engineering must name the actual native object/role/service and its accepted settings for: Every implementation SHALL publish its offered service classes, supported information categories, excluded capabilities and required qualification evidence before accepting a production request.",CT-018; CT-062,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"No complete authoritative service/profile registry, tenant role enforcement or actual placement/edge evidence is supplied. Input screening covers only its enumerated examples and cannot accept the complete service.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
INV-001/A01,INV-001,"Tenant identity, security-zone identity, workload lifecycle, and platform realization are separate concepts.","Tenant identity, security-zone identity, workload lifecycle, and platform realization are separate concepts.",Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §28,Architecture authority,Accepted service/profile and topology records; native domain/identity boundaries implement selected constraints,PARTIAL_DESIGN_AND_CANDIDATE,docs/architecture/RAD.md; docs/engineering/TAD.md; tools/input_review.py,"Site engineering must name the actual native object/role/service and its accepted settings for: Tenant identity, security-zone identity, workload lifecycle, and platform realization are separate concepts.",CT-016; CT-070,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"No complete authoritative service/profile registry, tenant role enforcement or actual placement/edge evidence is supplied. Input screening covers only its enumerated examples and cannot accept the complete service.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
INV-002/A01,INV-002,"A VPC, VRF, Tier-1 gateway, or Neutron router is an implementation mechanism, not the enterprise definition of a security zone.","A VPC, VRF, Tier-1 gateway, or Neutron router is an implementation mechanism, not the enterprise definition of a security zone.",Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §28,Architecture authority,Accepted service/profile and topology records; native domain/identity boundaries implement selected constraints,PARTIAL_DESIGN_AND_CANDIDATE,docs/architecture/RAD.md; docs/engineering/TAD.md; tools/input_review.py,"Site engineering must name the actual native object/role/service and its accepted settings for: A VPC, VRF, Tier-1 gateway, or Neutron router is an implementation mechanism, not the enterprise definition of a security zone.",CT-025; CT-080,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"No complete authoritative service/profile registry, tenant role enforcement or actual placement/edge evidence is supplied. Input screening covers only its enumerated examples and cannot accept the complete service.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
INV-003/A01,INV-003,"Routes are derived from authorized intent; workload owners do not provide arbitrary route tables, BGP peers, route targets, or prefix imports/exports.",Routes are derived from authorized intent,Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §28,Architecture authority,Accepted service/profile and topology records; native domain/identity boundaries implement selected constraints,PARTIAL_DESIGN_AND_CANDIDATE,docs/architecture/RAD.md; docs/engineering/TAD.md; tools/input_review.py,Site engineering must name the actual native object/role/service and its accepted settings for: Routes are derived from authorized intent,CT-009; CT-033,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"No complete authoritative service/profile registry, tenant role enforcement or actual placement/edge evidence is supplied. Input screening covers only its enumerated examples and cannot accept the complete service.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
INV-003/A02,INV-003,"Routes are derived from authorized intent; workload owners do not provide arbitrary route tables, BGP peers, route targets, or prefix imports/exports.","workload owners do not provide arbitrary route tables, BGP peers, route targets, or prefix imports/exports.",Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §28,Architecture authority,Accepted service/profile and topology records; native domain/identity boundaries implement selected constraints,PARTIAL_DESIGN_AND_CANDIDATE,docs/architecture/RAD.md; docs/engineering/TAD.md; tools/input_review.py,"Site engineering must name the actual native object/role/service and its accepted settings for: workload owners do not provide arbitrary route tables, BGP peers, route targets, or prefix imports/exports.",CT-009; CT-033,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"No complete authoritative service/profile registry, tenant role enforcement or actual placement/edge evidence is supplied. Input screening covers only its enumerated examples and cannot accept the complete service.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
INV-004/A01,INV-004,Shared services are exposed through explicit service bindings; broad reachability to a common-services supernet is not the default.,Shared services are exposed through explicit service bindings,Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §28,Architecture authority,Accepted service/profile and topology records; native domain/identity boundaries implement selected constraints,PARTIAL_DESIGN_AND_CANDIDATE,docs/architecture/RAD.md; docs/engineering/TAD.md; tools/input_review.py,Site engineering must name the actual native object/role/service and its accepted settings for: Shared services are exposed through explicit service bindings,CT-008,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"No complete authoritative service/profile registry, tenant role enforcement or actual placement/edge evidence is supplied. Input screening covers only its enumerated examples and cannot accept the complete service.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
