assertion_id,requirement_id,source_requirement,assertion,implementation_owner,enforcement_location,implementation_disposition,required_artifact_or_record,candidate_artifacts,verification_method,reference_tests,evidence_class,remaining_dependency,owner_review,source_sections,not_applicable
ARCH-001.A01,ARCH-001,The hosting contract SHALL be vendor neutral and SHALL NOT require consumers to specify vendor-specific identifiers or topology objects.,Complete source obligation; all applicable clauses must be satisfied: The hosting contract SHALL be vendor neutral and SHALL NOT require consumers to specify vendor-specific identifiers or topology objects.,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Complete source obligation; all applicable clauses must be satisfied: The hosting contract SHALL be vendor neutral and SHALL NOT require consumers to specify vendor-specific identifiers or topology objects.",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-016; CT-017,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §2; RA §20,Not selected; explicit scope rationale and authority required before any N/A disposition
ARCH-001.A02,ARCH-001,The hosting contract SHALL be vendor neutral and SHALL NOT require consumers to specify vendor-specific identifiers or topology objects.,Consumer contract is vendor neutral,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Consumer contract is vendor neutral",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-016; CT-017,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §2; RA §20,Not selected; explicit scope rationale and authority required before any N/A disposition
ARCH-001.A03,ARCH-001,The hosting contract SHALL be vendor neutral and SHALL NOT require consumers to specify vendor-specific identifiers or topology objects.,Consumer does not need native IDs,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Consumer does not need native IDs",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-016; CT-017,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §2; RA §20,Not selected; explicit scope rationale and authority required before any N/A disposition
ARCH-001.A04,ARCH-001,The hosting contract SHALL be vendor neutral and SHALL NOT require consumers to specify vendor-specific identifiers or topology objects.,Consumer does not need vendor-specific topology objects,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Consumer does not need vendor-specific topology objects",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-016; CT-017,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §2; RA §20,Not selected; explicit scope rationale and authority required before any N/A disposition
ARCH-002.A01,ARCH-002,Routine tenant and workload lifecycle operations SHOULD NOT require changes to physical leaf or spine configuration.,Complete source obligation; all applicable clauses must be satisfied: Routine tenant and workload lifecycle operations SHOULD NOT require changes to physical leaf or spine configuration.,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Complete source obligation; all applicable clauses must be satisfied: Routine tenant and workload lifecycle operations SHOULD NOT require changes to physical leaf or spine configuration.",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-071; CT-072,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §2; RA §20,Not selected; explicit scope rationale and authority required before any N/A disposition
ARCH-003.A01,ARCH-003,All inter-zone paths SHALL be explicit and SHALL traverse the applicable ZIP/security edge.,Complete source obligation; all applicable clauses must be satisfied: All inter-zone paths SHALL be explicit and SHALL traverse the applicable ZIP/security edge.,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Complete source obligation; all applicable clauses must be satisfied: All inter-zone paths SHALL be explicit and SHALL traverse the applicable ZIP/security edge.",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-003; CT-025,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §2; RA §20,Not selected; explicit scope rationale and authority required before any N/A disposition
ARCH-003.A02,ARCH-003,All inter-zone paths SHALL be explicit and SHALL traverse the applicable ZIP/security edge.,Every inter-zone path is explicitly identified,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Every inter-zone path is explicitly identified",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-003; CT-025,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §2; RA §20,Not selected; explicit scope rationale and authority required before any N/A disposition
ARCH-003.A03,ARCH-003,All inter-zone paths SHALL be explicit and SHALL traverse the applicable ZIP/security edge.,Each identified inter-zone path traverses its applicable qualified boundary,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Each identified inter-zone path traverses its applicable qualified boundary",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-003; CT-025,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §2; RA §20,Not selected; explicit scope rationale and authority required before any N/A disposition
ARCH-004.A01,ARCH-004,Management/OOB traffic SHALL be separated from tenant operational traffic and SHALL have independently controlled access paths.,Complete source obligation; all applicable clauses must be satisfied: Management/OOB traffic SHALL be separated from tenant operational traffic and SHALL have independently controlled access paths.,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Complete source obligation; all applicable clauses must be satisfied: Management/OOB traffic SHALL be separated from tenant operational traffic and SHALL have independently controlled access paths.",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-004; CT-026,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §2; RA §20,Not selected; explicit scope rationale and authority required before any N/A disposition
ARCH-004.A02,ARCH-004,Management/OOB traffic SHALL be separated from tenant operational traffic and SHALL have independently controlled access paths.,Workload-to-management route and policy separation,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Workload-to-management route and policy separation",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-004; CT-026,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §2; RA §20,Not selected; explicit scope rationale and authority required before any N/A disposition
