id,topic,baseline_locator,development_observation,treatment,document_code,section,document_path,bookmark,role_outputs,responsible_role,blocking_gate,remaining_implementation_work,closure_evidence,documentation_status,implementation_status,actual_owner,actual_evidence
DD-01,Service envelope,AK §2; RA §2,The guide identifies service requirement groups; a completed offer still needs choices and exclusions.,An internal-service decision table separates ordinary VM service from exposure and higher-assurance extensions.,SDP,1,01_Architecture/Service_Design_and_Decision_Development.docx,SDP_01,AK-01; AK-02,Architecture/service owner,G0,"Adopt actual categories, responsibilities, service classes and exclusions.",Accepted service envelope and named owners.,Developed reference treatment,Open; no target execution or approval,,
DD-02,Sharing scope,AK §4; RA §7,Layer-specific sharing questions need an explicit option and consequence record.,"Develops dedicated versus shared host, control, storage, edge and service choices without treating dedication as a checkbox.",SDP,2,01_Architecture/Service_Design_and_Decision_Development.docx,SDP_02,AK-04; AK-05,Architecture/security authority,G0,"Resolve actual domain compatibility, residual risk and ancillary dependencies.",Approved sharing matrix and applicable supporting analysis.,Developed reference treatment,Open; no target execution or approval,,
DD-03,Boundary decision,AK §7; RA §29,Alternatives should be reasoned before native components are selected.,DEV-ADR-01 compares explicit edge and qualified native/distributed alternatives and rejects unrestricted transit.,SDP,3,01_Architecture/Service_Design_and_Decision_Development.docx,SDP_03,AK-03; AK-04; AK-07,Architecture/network/security owners,G0,Adopt a topology and identify actual qualified enforcement locations.,"Decision record, related views and assigned engineering constraints.",Developed reference treatment,Open; no target execution or approval,,
DD-04,Consumer dependencies,AK §2; EK §5,"Service dependency names do not identify the actual caller, privilege or data path.","Separates guest, host, backup and administrative clients with explicit entitlement and recovery dependencies.",SDP,4,01_Architecture/Service_Design_and_Decision_Development.docx,SDP_04,AK-05; AK-06; EK-05,Service/identity/data owners,G0; G2,"Name the real callers, endpoints, support/location and authority scope.",Interface records and accepted provider/consumer responsibilities.,Developed reference treatment,Open; no target execution or approval,,
DD-05,Capacity and service cost,AK §5; RA §26,Capacity-on-demand needs a decision model that does not confuse installed capacity with offered capacity.,"Develops inventory, entitlement, reservation, cost allocation and expansion reasoning without invented prices.",SDP,5,01_Architecture/Service_Design_and_Decision_Development.docx,SDP_05,AK-06; EK-06,Capacity/service owner,G0; G2,"Supply actual service demand, measured capacities, lead time and approved rates if used.","Accepted service envelope, capacity model and measurement rules.",Developed reference treatment,Open; no target execution or approval,,
DD-06,Architecture handoff,AK §8; DEL §2,A generic handoff checklist benefits from a directly completable decision record.,Adds six editable handoff response controls linked to the existing HLD record.,SDP,6,01_Architecture/Service_Design_and_Decision_Development.docx,SDP_06,AK-08; EK-01,Architecture and engineering leads,G0,"Complete the actual design, owner and unresolved-decision record.",Receiver-accepted architecture release; no blocking ambiguity.,Developed reference treatment,Open; no target execution or approval,,
DD-07,Isolation units,EK §3; WD §4,"Domain attachments, service attachments and hardware counts must not be interchanged.",Accounts separately for four domain and two service handoffs and logical EC/SE units.,NBD,1,02_Engineering/Network_and_Boundary_Detailed_Engineering.docx,NBD_01,EK-03; EK-06,Network/security engineering,G1; G2,Map logical units to supported physical/virtual contexts and spare capacity.,Actual interface and context inventory with supported limits.,Developed reference treatment,Open; no target execution or approval,,
DD-08,Forward and reply routes,EK §3; WD §6,The path schedule needs explicit end-to-end reasoning as well as prefixes.,"Works F14-01 through four IPv4 route observations, stateful reply and rejected alternative forwarding.",NBD,2,02_Engineering/Network_and_Boundary_Detailed_Engineering.docx,NBD_02,EK-03; EK-09,Network/security engineering,G2,"Replace example allocations and inspect actual native routes, rules and session behaviour.",Observed forward/reply trace and forbidden-path evidence.,Developed reference treatment,Open; no target execution or approval,,
DD-09,Service return routing,EK §5; WD §7,Shared-service reachability alone does not demonstrate originating-tenant return routing.,Works DNS forward and origin-specific return routing through EC-01 and SE-01.,NBD,3,02_Engineering/Network_and_Boundary_Detailed_Engineering.docx,NBD_03,EK-03; EK-05,Network/shared-service owners,G2,Prove the selected service/gateway implementation supports the intended reply path and no transit.,"Service-side routes, tenant attribution and access/denial observations.",Developed reference treatment,Open; no target execution or approval,,
DD-10,Family and MTU budgets,EK §6; NET §5,A generic MTU value hides address-family and encapsulation assumptions.,Defines family-specific qualification and explicit 1550/1570-byte basic VXLAN outer-IP examples.,NBD,4,02_Engineering/Network_and_Boundary_Detailed_Engineering.docx,NBD_04,EK-03; EK-06,Network/platform engineering,G1; G2,"Supply real tunnel/options/tags, vendor MTU convention and surviving-path limits.",Reviewed packet budget plus actual PMTU and protocol observations.,Developed reference treatment,Open; no target execution or approval,,
