step_id,runbook,owner_role,title,action,expected,stop,evidence,status,baseline,actual_artifact,actual_owner,actual_evidence
RB-00-01,RB-00,Change owner,Identify the delivery,"Confirm the service, site, tenant/data scope, environment and work package.",Scope and exclusions match the change request.,Stop if the actual target or owner differs.,Scope record and target inventory.,Not run,RA §§20–25; WD §§9–10; IT §§1–2,,,
RB-00-02,RB-00,Change owner,Freeze the engineering input,"Resolve the HLD/LLD revision, drawings, schedules, exact tuple, approved configuration artifacts and hashes.",One controlled build baseline is identified.,Do not substitute moving latest versions or missing configuration.,Design/artifact manifest.,Not run,RA §§20–25; WD §§9–10; IT §§1–2,,,
RB-00-03,RB-00,Change owner,Confirm authority and safety,"Name executors, reviewer, stop/escalation authority, change window and allowed physical or intrusive-test scope.",Required permissions and site safety releases apply to this action.,No authorization or unsafe conditions: do not start.,Actual change/test decision and safety scope.,Not run,RA §§20–25; WD §§9–10; IT §§1–2,,,
RB-00-04,RB-00,Change owner,Prove access and recovery,"Verify approved management path, protected credential custody, independent recovery access and data-safe recovery method.",Recovery is usable for the failure this change can cause.,Do not change the only working access path without the accepted recovery arrangement.,Access and recovery preflight result.,Not run,RA §§20–25; WD §§9–10; IT §§1–2,,,
RB-00-05,RB-00,Change owner,Review competing work,"Check current owners, native tasks, locks, incidents and relevant resource/policy revisions.",Single authoritative writer; no unresolved late task or stale approval.,Pause and reconcile conflicts rather than overriding them.,Task/ownership review and current-state snapshot.,Not run,RA §§20–25; WD §§9–10; IT §§1–2,,,
RB-00-06,RB-00,Change owner,Issue ready-to-execute record,Reviewer accepts the bounded MOP; record conditions and expiry.,Execution may proceed only inside the issued scope.,A kit checklist completion is not the authority decision.,Signed or attributable preflight disposition.,Not run,RA §§20–25; WD §§9–10; IT §§1–2,,,
RB-01-01,RB-01,Foundation deployment lead,Verify staged inventory,Reconcile received hardware/software/entitlements against the accepted BOM and trusted source.,Components and firmware/driver tuple are accounted for.,Quarantine mismatched or unverified items; retain custody evidence.,Inventory and compatibility receipt.,Not run,"RA §§3–6,21; PROV §2; ET §§2–3",,,
RB-01-02,RB-01,Foundation deployment lead,Accept physical installation,"Qualified personnel complete approved manufacturer/facility installation and record links, racks, power and failure groups.",Physical topology matches the released design.,"Do not improvise electrical, lifting or restricted facility procedures.",Facility installation and port/cable receipts.,Not run,"RA §§3–6,21; PROV §2; ET §§2–3",,,
RB-01-03,RB-01,Foundation deployment lead,Establish bootstrap trust,Use the supported restricted console/OOB process and controlled temporary identity; provide accepted minimum time/name/trust.,Privileged access is restricted and recoverable without tenant routing.,Do not enable broad workload management reachability to finish bootstrap.,"Bootstrap access, dependency and temporary-grant record.",Not run,"RA §§3–6,21; PROV §2; ET §§2–3",,,
RB-01-04,RB-01,Foundation deployment lead,Commission transport,"Apply the accepted native configuration through the authoritative tool; verify neighbors, allowed routes, MTU and attachment membership.",Observed underlay/fabric matches the selected design.,"Unexpected route import or bypass: stop, isolate affected scope and follow supported recovery.","Native configuration, routing and path observations.",Not run,"RA §§3–6,21; PROV §2; ET §§2–3",,,
RB-01-05,RB-01,Foundation deployment lead,Verify the failure boundary,Run only approved link/management fault observations with restoration procedures.,Required access and enforcement survive as specified; interruption measured.,No unapproved fault injection; do not treat denied traffic as proof of availability.,"Fault scope, observations and restoration receipt.",Not run,"RA §§3–6,21; PROV §2; ET §§2–3",,,
RB-01-06,RB-01,Foundation deployment lead,Release G1 scope,"Handover actual configuration, inventory, recovery copy, telemetry, capacity and limitations.",Dependent platform work consumes accepted foundation capacity.,Open mandatory foundation issue blocks affected consumption.,G1 decision and P1 handoff.,Not run,"RA §§3–6,21; PROV §2; ET §§2–3",,,
RB-02-01,RB-02,Nutanix platform owner,Confirm native support,"Resolve cluster, manager, Flow, provider/API and hardware compatibility and enabled feature scope.",Every needed operation has support evidence or an accepted alternative.,A v2 resource name or provider availability is not full support.,Tuple/operation-coverage record.,Not run,"RA §16,22; VND §3; VC §2; K05",,,
RB-02-02,RB-02,Nutanix platform owner,Install under native ownership,Execute the approved vendor installation/lifecycle artifact with the protected management path.,Native cluster and control services are healthy at the recorded versions.,Use supported recovery on failure; never create a competing configuration owner.,Installer and native task receipts.,Not run,"RA §16,22; VND §3; VC §2; K05",,,
RB-02-03,RB-02,Nutanix platform owner,Establish eligible pools,"Configure approved host/zone/co-residency eligibility, storage/controller membership, templates and protection integration.",Placement and restart constraints cover actual shared dependencies.,Do not treat separate guest networks as physical isolation.,Placement/storage/management as-built.,Not run,"RA §16,22; VND §3; VC §2; K05",,,
RB-02-04,RB-02,Nutanix platform owner,Commission virtual network capability,Prepare platform transport and isolated external handoff capacity; verify supported gateway/no-NAT/NAT choice and policy ownership.,Independent domain routing and baseline controls precede endpoints.,Shared connected external paths remain ineligible until isolation is proven.,"Native handoff, route and policy observations.",Not run,"RA §16,22; VND §3; VC §2; K05",,,
RB-02-05,RB-02,Nutanix platform owner,Create authorized disposable fixture,"Under restricted test permission, realize the WD logical roles with site allocations and current mandatory policy.",Fixture ownership is stable; partial resources remain denied.,Do not use documentation addresses as actual allocations or introduce production data.,Fixture inventory and build receipts.,Not run,"RA §16,22; VND §3; VC §2; K05",,,
RB-02-06,RB-02,Nutanix platform owner,Qualify and hand over,"Observe relevant W14/CT outcomes, failure and restore; record actual resource create/update/adopt/delete handling.",Accepted capability scope and limitations available for G2.,Unrun or failed mandatory observation remains open.,"Qualification report, native IDs and G2 scope decision.",Not run,"RA §16,22; VND §3; VC §2; K05",,,
RB-03-01,RB-03,VMware/NSX platform owners,Confirm routing-mode compatibility,"Validate exact Tier-1/upstream context, parent Tier-0/VRF and HA mode against installed-release documentation and KIT-TN-01.",Selected modes and service functions are supported together.,Do not change a live parent mode merely to satisfy this checklist; require a separate impact-reviewed change.,Gateway compatibility decision.,Not run,"RA §17,22; VND §4; VC §3; KIT-TN-01",,,
RB-03-02,RB-03,VMware/NSX platform owners,Commission compute/storage management,"Execute approved native vCenter/ESXi and storage installation, eligible pools, image/boot and management configuration.",Actual placements and data dependencies match the LLD.,Unsupported tuple or hidden shared management boundary blocks service acceptance.,Platform installation and pool as-built.,Not run,"RA §17,22; VND §4; VC §3; KIT-TN-01",,,
