document_code,title,document_path,section,section_title,bookmark,baseline_and_related_sections,status
SDP,Service Design and Architecture Decisions,01_Architecture/Service_Design_and_Decision_Development.docx,1,Define the offered service before choosing the build,SDP_01,RA §2; RA §14; AK §2,Proposed document development; not accepted site engineering
SDP,Service Design and Architecture Decisions,01_Architecture/Service_Design_and_Decision_Development.docx,2,Choose sharing at each infrastructure layer,SDP_02,RA §7; RA §11; AK §4,Proposed document development; not accepted site engineering
SDP,Service Design and Architecture Decisions,01_Architecture/Service_Design_and_Decision_Development.docx,3,Develop a boundary architecture decision,SDP_03,RA §8; RA §29; AT §6,Proposed document development; not accepted site engineering
SDP,Service Design and Architecture Decisions,01_Architecture/Service_Design_and_Decision_Development.docx,4,Turn dependencies into explicit service interfaces,SDP_04,RA §9; RA §13; SVC §1; EK §5,Proposed document development; not accepted site engineering
SDP,Service Design and Architecture Decisions,01_Architecture/Service_Design_and_Decision_Development.docx,5,Make capacity-on-demand and exit economically explainable,SDP_05,RA §4; RA §26; QUAL §3; AK §5,Proposed document development; not accepted site engineering
SDP,Service Design and Architecture Decisions,01_Architecture/Service_Design_and_Decision_Development.docx,6,Release the architecture as an accountable engineering contract,SDP_06,AK §8; AT §10; DEL §2,Proposed document development; not accepted site engineering
NBD,"Network, Boundary and Shared-Service Detailed Engineering",02_Engineering/Network_and_Boundary_Detailed_Engineering.docx,1,Count and assign the actual isolation units,NBD_01,WD §3; WD §4; NET §2; EK §3,Proposed document development; not accepted site engineering
NBD,"Network, Boundary and Shared-Service Detailed Engineering",02_Engineering/Network_and_Boundary_Detailed_Engineering.docx,2,Walk F14-01 through the forward and reply routes,NBD_02,WD §5; WD §6; RA §10,Proposed document development; not accepted site engineering
NBD,"Network, Boundary and Shared-Service Detailed Engineering",02_Engineering/Network_and_Boundary_Detailed_Engineering.docx,3,Make service replies choose the originating context,NBD_03,WD §7; SVC §2; NET §4,Proposed document development; not accepted site engineering
NBD,"Network, Boundary and Shared-Service Detailed Engineering",02_Engineering/Network_and_Boundary_Detailed_Engineering.docx,4,Budget address families and encapsulation precisely,NBD_04,NET §5; WD §11; EK §6,Proposed document development; not accepted site engineering
NBD,"Network, Boundary and Shared-Service Detailed Engineering",02_Engineering/Network_and_Boundary_Detailed_Engineering.docx,5,Keep fabric authority separate from tenant routing,NBD_05,RA §5; NET §1; VC §5,Proposed document development; not accepted site engineering
NBD,"Network, Boundary and Shared-Service Detailed Engineering",02_Engineering/Network_and_Boundary_Detailed_Engineering.docx,6,Issue an interface control and handoff record,NBD_06,ET §3; ET §4; PROV §1,Proposed document development; not accepted site engineering
NBD,"Network, Boundary and Shared-Service Detailed Engineering",02_Engineering/Network_and_Boundary_Detailed_Engineering.docx,7,Release the network design under an explicit failure model,NBD_07,NET §6; QUAL §3; QCP §5,Proposed document development; not accepted site engineering
PBS,Platform Engineering and Build Specifications,02_Engineering/Platform_Engineering_and_Build_Specifications.docx,1,Choose the platform boundary and configuration owner,PBS_01,RA §15; RA §20; VC §1; PROV §3,Proposed document development; not accepted site engineering
PBS,Platform Engineering and Build Specifications,02_Engineering/Platform_Engineering_and_Build_Specifications.docx,2,Nutanix: commission the hosting cell,PBS_02,RA §16; VND §3; VC §2,Proposed document development; not accepted site engineering
PBS,Platform Engineering and Build Specifications,02_Engineering/Platform_Engineering_and_Build_Specifications.docx,3,Nutanix: realize a tenant and its workload domains,PBS_03,RA §16; WD §8; PROV §4,Proposed document development; not accepted site engineering
PBS,Platform Engineering and Build Specifications,02_Engineering/Platform_Engineering_and_Build_Specifications.docx,4,"VMware/NSX: commission transport, compute and edge roles",PBS_04,RA §17; VND §4; VC §3,Proposed document development; not accepted site engineering
PBS,Platform Engineering and Build Specifications,02_Engineering/Platform_Engineering_and_Build_Specifications.docx,5,"VMware/NSX: bind domain, workload and policy lifecycles",PBS_05,RA §17; RA §24; WD §8,Proposed document development; not accepted site engineering
PBS,Platform Engineering and Build Specifications,02_Engineering/Platform_Engineering_and_Build_Specifications.docx,6,"OpenStack: commission a distribution, not a generic label",PBS_06,RA §18; VND §5; VC §4,Proposed document development; not accepted site engineering
PBS,Platform Engineering and Build Specifications,02_Engineering/Platform_Engineering_and_Build_Specifications.docx,7,OpenStack: protect mandatory network mutation,PBS_07,RA §18; WD §8; VC §4,Proposed document development; not accepted site engineering
PBS,Platform Engineering and Build Specifications,02_Engineering/Platform_Engineering_and_Build_Specifications.docx,8,Publish shared-service handoffs without sharing authority,PBS_08,PROV §1; PROV §3; SVC §1; EK §5,Proposed document development; not accepted site engineering
