id,discipline,title,owner_role,gate,baseline,template,acceptance,status,actual_owner,evidence
AK-01,Architecture,"Mandate, stakeholders and service envelope",Architecture lead,G0,RA §§1–4,AT §1,"Named scope, beneficiaries, exclusions, demand and accountable service owner.",Not started,,
AK-02,Architecture,Requirement applicability and acceptance allocation,Architecture + security,G0,"RA §§1–2, 28",AT §2,"Every selected baseline requirement has applicability, owner, design home and verification method.",Not started,,
AK-03,Architecture,"High-level physical, logical and security views",Infrastructure architect,G0,RA §§3–14,AT §§3–5,"Components, connections, trust/authority/failure boundaries, data paths and assumptions are coherent.",Not started,,
AK-04,Architecture,Architecture decisions and allowed variations,Architecture authority,G0,RA §29; GM §4,AT §6,"Alternatives, rationale, consequences, affected requirements and actual decision authority recorded.",Not started,,
AK-05,Architecture,"Threat, co-residency and control responsibility",Security architect,G0,"RA §§6–8, 11–13",AT §7,"Sharing at each layer, credible failures/compromises, residual risks and inherited controls are assigned.",Not started,,
AK-06,Architecture,"Availability, recovery, capacity and location strategy",Service + data owners,G0,"RA §§12–14, 26–27",AT §8,Offered service boundaries and objectives are separated from categorization; exit and recovery constraints explicit.,Not started,,
AK-07,Architecture,Vendor realization and provisioning strategy,Platform architect,G0,RA §§15–24,AT §9,Native realization choices and P0–P6 responsibilities are linked without assuming one universal provider.,Not started,,
AK-08,Architecture,Architecture review and engineering handoff,Architecture authority,G0,RA §§28–30,AT §10,Critical design decisions resolved or blocked by scope; signed disposition and engineering inputs available.,Not started,,
EK-01,Engineering,Site LLD and controlled design release,Engineering lead,G1,RA §30; QUAL §2,ET §1,Actual values and source references replace examples; reviewed topology and controlled revision identified.,Not started,,
EK-02,Engineering,"Physical inventory, bill of materials and port/cable schedule",Site + network engineers,G1,RA §§3–6,ET §2,"Hardware/optic/firmware/power dependencies, rack and link endpoints, support and staging accepted.",Not started,,
EK-03,Engineering,"Network, addressing, routes and ZIP paths",Network + security engineers,G2,"RA §§5, 8–10; WD §§4–7",ET §§3–4,"Forward/reply routes, service endpoints, enforcement, MTU and alternate paths recorded per family.",Not started,,
EK-04,Engineering,"Compute, storage and placement schedules",Platform + storage engineers,G2,"RA §§7, 11–12",ET §5,"Eligible hosts, native placement, virtual disk/data paths, copies and recovery membership are explicit.",Not started,,
EK-05,Engineering,"Management, shared-service and trust interfaces",Service + identity engineers,G2,"RA §§6, 9, 13; SVC §§1–5",ET §6,"Consumption/admin separation, initiating clients, role/key scope and bootstrap/recovery dependencies mapped.",Not started,,
EK-06,Engineering,"Capacity, performance, MTU and failure calculations",Capacity engineer,G2,QUAL §§3–4; WD §11,ET §7,Assumptions and measured survivor capacity share units and failure basis; all bottlenecks evaluated.,Not started,,
EK-07,Engineering,Exact stack and operation-level automation coverage,Platform + automation engineers,G2,RA §§15–24; VND §7,ET §8,"Products, APIs, providers, installers, hardware, entitlements and all lifecycle operations have a support disposition.",Not started,,
EK-08,Engineering,"Build, rollback and qualification design",Engineering + assurance leads,G2,PROV §§1–6; QUAL §5,ET §9,"Site-specific MOP, rollback/forward repair, test resources and assertion coverage reviewed before execution.",Not started,,
EK-09,Engineering,Engineering release and implementation handoff,Engineering release owner,G1/G2,"RA §§25, 30",ET §10,"Versioned design, artifacts, credentials references, evidence plan and unresolved blockers handed over explicitly.",Not started,,
IK-01,Implementation,"Change scope, release freeze and execution authority",Change owner,Before execution,"PROV §§1, 5; WD §§9–10",IT §1,"Actual change reference, immutable artifacts, scope, participants and stop authority recorded.",Not started,,
IK-02,Implementation,Staging and installation readiness,Deployment lead,G1,RA §21,IK §3,"Supplier/asset checks, approved installation method, facility work, recovery access and staging results accepted.",Not started,,
IK-03,Implementation,P0–P1 bootstrap and foundation receipts,Foundation owner,G1,RA §21; PROV §2,IK §3,"Trusted independent access, minimum services and verified physical/network transport precede platform consumption.",Not started,,
IK-04,Implementation,P2 native platform build receipts,Selected platform owner,G2,"RA §§16–18, 22",IK §4; VC §§2–4,"Installer and native resource changes match approved tuple; APIs, baseline and supported recovery observed.",Not started,,
IK-05,Implementation,P3 shared-service and boundary receipts,Service + edge owners,G2,"RA §§9, 12–13, 22",IK §5,"Denied boundary paths, service clients, return routing, names/trust/backup and management separation observed.",Not started,,
IK-06,Implementation,Restricted qualification fixture and test campaign,Assurance lead,G2,"WD §§9, 11, 13",IK §6; IT §4,"Authorized disposable scope, actual observations and supporting control paths; no production qualification assumed.",Not started,,
IK-07,Implementation,G4 initial operational and recovery readiness,Service operations owner,Before G3,"WD §9; QUAL §§5, 7",IT §§5–6,"Owners, support, monitoring, incident paths and required restore/recovery evidence accepted before activation.",Not started,,
IK-08,Implementation,P4–P5 tenant build and production activation,Service acceptance owner,G3,RA §23; WD §9,IK §7; IT §7,"G0/G1/G2, applicable initial G4, current tests and valid authority precede reversible activation.",Not started,,
IK-09,Implementation,"As-built, defect and evidence records",Implementation + operations,G3/G4,"RA §§26, 28, 30",IT §§3–6,"Actual identities, configurations, departures, tests, evidence and owner acceptance are attributable.",Not started,,
IK-10,Implementation,"P6 maintenance, migration and retirement",Lifecycle/data owners,G4 continuing,RA §§25–27,IK §§8–9; IT §8,"Change requalification, fencing, retained-copy/key obligations, access withdrawal and safe disposal tracked.",Not started,,
