requirementId,text,ownerRole,parentSections,supplementHomes,sourceIds,baselineTests,wordingDisposition,executionStatus
ARCH-001,The hosting contract SHALL be vendor neutral and SHALL NOT require consumers to specify vendor-specific identifiers or topology objects.,Architecture authority,RA §1; RA §2; RA §20,GM §1; GM §2; PROV §1,S00,CT-016; CT-017,Unchanged from v1.2,"Specified, not executed by this release"
ARCH-002,Routine tenant and workload lifecycle operations SHOULD NOT require changes to physical leaf or spine configuration.,Architecture authority,RA §1; RA §2; RA §20,GM §1; GM §2; PROV §1,S00,CT-071; CT-072,Unchanged from v1.2,"Specified, not executed by this release"
ARCH-003,All inter-zone paths SHALL be explicit and SHALL traverse the applicable ZIP/security edge.,Architecture authority,RA §1; RA §2; RA §20,GM §1; GM §2; PROV §1,S00; S01; S02,CT-003; CT-025,Unchanged from v1.2,"Specified, not executed by this release"
ARCH-004,Management/OOB traffic SHALL be separated from tenant operational traffic and SHALL have independently controlled access paths.,Architecture authority,RA §1; RA §2; RA §20,GM §1; GM §2; PROV §1,S00; S01; S02,CT-004; CT-026,Unchanged from v1.2,"Specified, not executed by this release"
SCOPE-001,"Every implementation SHALL publish its offered service classes, supported information categories, excluded capabilities and required qualification evidence before accepting a production request.",Architecture authority,RA §1; RA §2; RA §20,GM §1; GM §2; PROV §1,S00,CT-018; CT-062,Unchanged from v1.2,"Specified, not executed by this release"
INV-001,"Tenant identity, security-zone identity, workload lifecycle, and platform realization are separate concepts.",Architecture authority,RA §1; RA §28,GM §1; QUAL §5; QUAL §6,S00,CT-016; CT-070,Unchanged from v1.2,"Specified, not executed by this release"
INV-002,"A VPC, VRF, Tier-1 gateway, or Neutron router is an implementation mechanism, not the enterprise definition of a security zone.",Architecture authority,RA §1; RA §28,GM §1; QUAL §5; QUAL §6,S00,CT-025; CT-080,Unchanged from v1.2,"Specified, not executed by this release"
INV-003,"Routes are derived from authorized intent; workload owners do not provide arbitrary route tables, BGP peers, route targets, or prefix imports/exports.",Architecture authority,RA §1; RA §28,GM §1; QUAL §5; QUAL §6,S00,CT-009; CT-033,Unchanged from v1.2,"Specified, not executed by this release"
INV-004,Shared services are exposed through explicit service bindings; broad reachability to a common-services supernet is not the default.,Architecture authority,RA §1; RA §28,GM §1; QUAL §5; QUAL §6,S00,CT-008,Unchanged from v1.2,"Specified, not executed by this release"
INV-005,"Portability means equivalent required outcomes and conformance, not identical topology.",Architecture authority,RA §1; RA §28,GM §1; QUAL §5; QUAL §6,S00,CT-016; CT-060,Unchanged from v1.2,"Specified, not executed by this release"
INV-006,A deployment is not Service Ready until realized state and security controls are verified.,Architecture authority,RA §1; RA §28,GM §1; QUAL §5; QUAL §6,S00,CT-049; CT-069,Unchanged from v1.2,"Specified, not executed by this release"
INV-007,Failure of an admission or control-plane dependency SHALL fail new changes closed; failure SHALL NOT silently create a security bypass.,Architecture authority,RA §1; RA §28,GM §1; QUAL §5; QUAL §6,S00,CT-011; CT-045,Unchanged from v1.2,"Specified, not executed by this release"
REF-001,"The service contract SHALL remain stable when a supported platform is replaced, provided the replacement platform passes the required conformance profile.",Architecture authority,RA §1; RA §28,GM §1; QUAL §5; QUAL §6,S00,CT-016; CT-060,Unchanged from v1.2,"Specified, not executed by this release"
REF-002,"Platform-specific extensions MAY be offered, but they SHALL be declared as capabilities and SHALL NOT redefine the portable core semantics.",Architecture authority,RA §1; RA §28,GM §1; QUAL §5; QUAL §6,S00,CT-016; CT-018,Unchanged from v1.2,"Specified, not executed by this release"
DOC-001,"Every normative requirement SHALL have a stable identifier, accountable owner, applicability, source basis, verification procedure and exception policy; generated catalogues SHALL contain every active requirement.",Architecture authority,RA §1; RA §28,GM §1; QUAL §5; QUAL §6,S00,CT-075,Unchanged from v1.2,"Specified, not executed by this release"
AUTH-001,"Technical conformance, service readiness and formal authorization SHALL be recorded as distinct states; an automated test result SHALL NOT create, renew or impersonate an authorization decision.",Security authority,RA §1; RA §28,GM §1; QUAL §5; QUAL §6,S04; S05,CT-049; CT-069,Unchanged from v1.2,"Specified, not executed by this release"
STD-001,"The standards register SHALL record edition, effective/review date, applicability, owner and supersession relationships; external changes SHALL trigger an impact review of affected profiles and evidence.",Security authority,RA §1; RA §28,GM §1; QUAL §5; QUAL §6,S01; S02; S05; S10,CT-062; CT-075,Unchanged from v1.2,"Specified, not executed by this release"
STD-002,"Control mappings SHALL preserve source edition and identifier and SHALL distinguish direct source requirements, local translations and design decisions; a family-level crosswalk SHALL NOT be represented as a completed control assessment.",Security authority,RA §1; RA §28,GM §1; QUAL §5; QUAL §6,S05,CT-062; CT-075,Unchanged from v1.2,"Specified, not executed by this release"
CAT-001,"Each WSD SHALL record confidentiality, integrity and availability separately and SHALL reference the exact adopted SecurityProfile, AssuranceProfile, AvailabilityProfile, RecoveryProfile and PlacementProfile.",Security authority,RA §2,GM §2,S00; S05; S06,CT-017; CT-062; CT-069,Unchanged from v1.2,"Specified, not executed by this release"
CAT-002,"Profile resolution SHALL be immutable and authorized; a consumer SHALL NOT lower mandatory requirements by editing a profile, forging a status field or choosing an unsupported category.",Automation platform,RA §2,GM §2,S00,CT-017; CT-018,Unchanged from v1.2,"Specified, not executed by this release"
THR-001,"Each platform qualification and material WSD change SHALL include a threat/failure analysis that identifies trust boundaries, privileged actors, dependency failures, residual risks and applicable tests.",Security authority,RA §2,GM §2,S03; S05; S08,CT-035; CT-062; CT-080,Unchanged from v1.2,"Specified, not executed by this release"
MODEL-001,"Every network SHALL resolve to one Security Domain Instance, one logical domain, one zone class, one address authority and one accountable owner; shared-domain lifecycle SHALL use explicit dependency references.",Architecture authority,RA §3; RA §7,QUAL §2; VND §1; VND §2,S00,CT-017; CT-025; CT-070,Unchanged from v1.2,"Specified, not executed by this release"
MODEL-002,"Provider service consumption, platform control, privileged management and OOB transport SHALL be modeled separately; a shared service SHALL NOT create implicit authority over another plane.",Architecture authority,RA §3; RA §7,QUAL §2; VND §1; VND §2,S00; S01; S02,CT-004; CT-008; CT-026,Unchanged from v1.2,"Specified, not executed by this release"
TEN-001,Cross-tenant routing SHALL be denied by default even when two tenants use the same zone class.,Automation platform,RA §7,VND §1; VND §2,S00,CT-001; CT-002; CT-019,Unchanged from v1.2,"Specified, not executed by this release"
TEN-002,"Tenant administrators SHALL NOT have authority to modify provider management, security-edge infrastructure, physical fabric, or another tenant namespace.",Automation platform,RA §7,VND §1; VND §2,S00,CT-019; CT-026,Unchanged from v1.2,"Specified, not executed by this release"
TEN-003,"Tenant ownership, entitlements and role bindings SHALL be versioned and auditable; suspension SHALL specify permitted recovery/containment actions and SHALL NOT imply indiscriminate workload deletion.",Service owner,RA §7,VND §1; VND §2,S00,CT-019; CT-057; CT-070,Unchanged from v1.2,"Specified, not executed by this release"
WSD-001,Every managed workload SHALL belong to a WSD or an explicitly documented equivalent lifecycle object.,Service owner,RA §7,VND §1; VND §2,S00,CT-017; CT-070,Unchanged from v1.2,"Specified, not executed by this release"
WSD-002,The WSD SHALL contain security and connectivity intent; it SHALL NOT contain vendor-specific infrastructure identifiers in the consumer contract.,Automation platform,RA §7,VND §1; VND §2,S00,CT-016; CT-017,Unchanged from v1.2,"Specified, not executed by this release"
WSD-003,"A WSD SHALL declare compute, storage, identity, backup, recovery, exposure and evidence dependencies in addition to network intent; unresolved mandatory dependencies SHALL block Service Ready.",Service owner,RA §7,VND §1; VND §2,S00,CT-062; CT-069,Unchanged from v1.2,"Specified, not executed by this release"
SDI-001,A Security Domain Instance SHALL contain only networks authorized to share its routing/security authority.,Security authority,RA §7,VND §1; VND §2,S00,CT-025; CT-035,Unchanged from v1.2,"Specified, not executed by this release"
SDI-002,Sharing a zone class SHALL NOT imply reachability between independent Security Domain Instances.,Platform engineering,RA §7,VND §1; VND §2,S00,CT-001; CT-002; CT-021,Unchanged from v1.2,"Specified, not executed by this release"
SDI-003,Dedicated Security Domain Instances SHOULD be available for workloads whose assurance profile or threat model requires stronger isolation than shared logical segmentation.,Platform engineering,RA §7,VND §1; VND §2,S00,CT-018; CT-035,Unchanged from v1.2,"Specified, not executed by this release"
SDI-004,Each Security Domain Instance SHALL reference a logical domain and a qualified site/platform realization; membership and sharing changes SHALL be assessed as security-significant changes.,Security authority,RA §7,VND §1; VND §2,S00,CT-025; CT-035; CT-048,Unchanged from v1.2,"Specified, not executed by this release"
ZONE-001,"Internal instance zoneClass SHALL be limited to PAZ, OZ, RZ, HRZ or provider-controlled MZ; external PZ/REZ relationships SHALL use ExternalDomain with explicit authority and trust metadata.",Security authority,RA §8,NET §2; NET §3,S01; S02,CT-017; CT-025; CT-076,Unchanged from v1.2,"Specified, not executed by this release"
ZONE-002,Every requested adjacency SHALL be evaluated against the versioned zone policy before allocation; being permitted to create a ZIP SHALL NOT grant any traffic by default.,Automation platform,RA §8,NET §2; NET §3,S01; S02,CT-025; CT-066,Unchanged from v1.2,"Specified, not executed by this release"
