id,area,parentSections,baselineObservation,treatment,supplement,supplementSection,ownerRole,blockingGate,remainingWork,closureEvidence,gapType,priority,documentationStatus,implementationStatus
G01,Document hierarchy and precedence,1; 30,"The architecture delegates detail to a site design and traceability package, but no linked engineering document family owns that detail.","Introduce one parent architecture, six bounded supplements, stable IDs, reciprocal links and a conflict/change rule.",GM,1,Architecture authority,G0 — design adoption,"Adopt the document family, owners and repository location.",Approved document register and conflict disposition.,Knowledge organization,P0,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G02,Site and cell independence,3; 4; 14,"Cell and failure boundaries are defined, but the evidence needed to substantiate apparently independent resources is not assembled into a site schedule.","Supply a dependency worksheet for power, rack, switch, storage, manager, edge and trust services; distinguish reference cell from vendor cluster.",QUAL,2,Site/platform architect,G1 — foundation acceptance,Populate actual fault groups and shared dependencies.,As-built dependency map and witnessed failure coverage.,Engineering elaboration,P0,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G03,Attachment inventory and exhaustion,5; 8; 16; 17; 18,"Isolated attachment slots are required; their allocation unit, lifecycle and scaling arithmetic are not worked through.","Define attachment unit, routing/enforcement identity, reservation/reuse sequence and symbolic capacity example.",NET,2,Network and security-edge engineering,G2 — platform/service acceptance,Select supported slot mechanism and measured context limits for each stack.,Four-domain fixture with no shared-path bypass and exhausted-pool rejection.,Engineering elaboration,P0,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G04,Underlay and overlay ownership,5; 15,"Independent native overlays are selected, but detailed ownership and permitted advertisements still need an interface design.","Define separate transport, tenant and service route scopes and allowed/forbidden handoffs.",NET,1,Network engineering,G1 — foundation acceptance,"Choose routing model, ASN/prefix allocations and actual border peers.",Approved route schedule and observed RIB/FIB comparison.,Engineering elaboration,P1,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G05,MTU and multihoming budget,5; 10,The parent requires MTU and fault tests without a worked budget and explicit failure observations.,"Add per-layer MTU method, declared workload MTU, minimum-path bottleneck and fault cases.",NET,5,Network/platform engineering,G1 — foundation acceptance,Measure NIC/switch/gateway limits and selected encapsulations.,Packet-size and link/peer-failure results for every offered path.,Engineering elaboration,P1,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G06,Stateful inter-zone path,8; 10,"The ZIP pattern is clear, but there is no complete forward/return/translation schedule for an example.","Provide four-domain route ownership, allowed flow paths, reverse initiation, established sessions and edge-failure handling.",NET,3,Security-edge engineering,G3 — tenant activation,Bind routes and inspection to actual native components and HA mode.,"Bidirectional path traces, intended denials and failover/session evidence.",Engineering elaboration,P0,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G07,IPv6 service offer,10; 28,"Address-family support is conditional, but wording can be read as offering all three modes without a chosen end-to-end capability.",Clarify declaration of supported modes and add per-family interface and recovery acceptance.,NET,4,Network/platform engineering,G2 — platform/service acceptance,"Choose offered modes, service dependencies and local-link controls.",Positive/negative family-specific results; no fabricated IPv4 for IPv6-only.,Scope clarification,P1,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G08,DNS protocol completeness,9; 10,"DNS is named as a required service but its protocol set, delegation and fallback are not specified.","Add resolver TCP and UDP treatment, DNS ownership, TTL/cutover and negative resolver checks.",SVC,2,Name/address service owner,G3 — tenant activation,"Choose resolver endpoints, zones, update authority and any encrypted-DNS profile.","UDP, TCP and truncation/fallback checks plus forbidden-resolver denial.",Engineering elaboration,P0,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G09,Management-domain access,6; 13,"MZ/OOB separation is explained, but no target-by-target management authority schedule is supplied.","Define operator, executor, support, emergency and guest-administration paths with independent revocation and recovery.",NET,6,Management and identity owners,G1 — foundation acceptance,Assign administrative scopes and surviving OOB dependencies.,Actual role/route review and approved production-path-loss exercise.,Engineering elaboration,P0,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G10,Sharing and co-residency decisions,7; 11; 12,"The zone-specific baseline is retained; pool, controller, storage and management sharing must be decided together.",Supply a component-level sharing decision record and placement/evacuation constraints for all vendor realizations.,VND,2,Security authority and platform architect,G0 — design adoption,Accept zone-authority sharing and HCI controller/storage implications; assess alternatives.,"Signed sharing matrix plus placement, migration and restart observations.",Engineering elaboration,P0,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G11,Common complete reference environment,15; 23,The cross-stack example describes one tenant in prose; native resource and handoff accounting is not fully worked.,"Define two tenants, four domains, independent attachments and identical expected outcomes across three stacks.",VND,1,Architecture/platform engineering,G2 — platform/service acceptance,Instantiate symbolic resources and select test endpoints in the authorized lab.,Resource/route/service inventory tied to the common fixture.,Engineering elaboration,P1,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G12,Nutanix realization detail,16,"VPC/no-NAT and Flow design is proposed; actual external attachment, placement and lifecycle limits remain unqualified.","Expand installation versus allocation sequence, forwarding, storage path and operation evidence without assuming resource support.",VND,3,Nutanix platform owner,G2 — platform/service acceptance,Verify installed AOS/Prism/Flow/API/provider/hardware and licence tuple.,"Supported-operation matrix, actual handoffs, policy and failure results.",Vendor validation,P0,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G13,VMware/NSX upstream realization,17,Tier-0 VRF or equivalent is proposed; full source retrieval was restricted and no exact supported tuple is selected.,"Retain explicit source limitation; define isolated routing invariants, acceptance alternatives and required vendor confirmation.",VND,4,VMware/NSX platform owner,G2 — platform/service acceptance,"Confirm gateway/VRF/Edge features, limits, entitlements and provider operation coverage.",Current vendor-backed low-level design plus route-propagation and Edge-failure tests.,Vendor validation,P0,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G14,OpenStack mandatory policy,18,"ML2/OVN reference and editable security groups are discussed, but provider-owned policy realization needs a specific design.","Separate Neutron authority, mandatory control, tenant permits and backend ownership; enumerate alternate attachment paths.",VND,5,OpenStack platform owner,G2 — platform/service acceptance,Select distribution/backend/API policy and persistent mandatory enforcement mechanism.,"Default-policy, port authority, relocation, gateway and volume-isolation results.",Vendor validation,P0,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G15,Cross-stack communication versus migration,15; 27,"Portable, composite and migrated are distinguished; acceptance criteria for choosing among them are not tabulated.","Add deployment-mode decisions, cross-stack service boundaries and unsupported live-migration handling.",VND,6,Architecture and migration owners,G0 — design adoption,Choose the required capability and data movement/consistency method.,"Approved mode, dependency budget and target recovery evidence.",Engineering elaboration,P1,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G16,Work-package handoffs,20; 22; 24,"P0–P6 are defined, but there is no minimum handoff record for each owner.","Define accepted inputs, actual owned outputs, release conditions, downstream consumers and resource-safe reversal.",PROV,1,Provisioning/service owners,G2 — platform/service acceptance,"Bind packages to selected tools, identities and operating owners.",Each dependency has an accepted handoff; no borrowed broad credentials.,Engineering elaboration,P1,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G17,Independent Day-0 bootstrap,21; 13; 14,"Bootstrap order is specified, but an explicit minimum surviving service set and transition record is absent.","Provide bootstrap dependency cuts, temporary authority, steady-state transfer and recovery custody.",PROV,2,Foundation/management owner,G1 — foundation acceptance,"Choose independent console, trust, name/time, artifact and state recovery locations.",Recovery from primary platform unavailability and revoked temporary access.,Engineering elaboration,P0,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G18,Operation-level tool coverage,22; 24,Provider coverage must be checked per operation; the reusable inventory to make that decision is not supplied.,Add resource-operation matrix with observe/create/update/adopt/replace/delete/recover status and supported alternatives.,PROV,3,Platform and automation engineering,G2 — platform/service acceptance,Populate exact resources and support evidence; implement missing owned integrations.,"Witnessed lifecycle and failure reconciliation, not a provider-name checkbox.",Implementation coverage,P0,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G19,Activation and rollback safety,23; 24,Internal verification and post-activation checks exist; detailed irreversible boundaries and safe responses need elaboration.,"Define deny-first assembly, canary/controlled activation, session withdrawal and preservation of newly written data.",PROV,4,Provisioning and security-edge owners,G3 — tenant activation,Implement actual activation gates and data-safe recovery actions.,Interrupted-stage and failed-live-check exercises preserve unrelated services.,Engineering elaboration,P0,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G20,Single-writer and stale executor,24; 25,Single ownership and stale plan checks are required; delayed native operations after executor failure are not developed.,"Add ownership transfer, stop-and-discover procedure, outstanding task checks and conditional resumption.",PROV,5,Automation/platform owners,G3 — tenant activation,"Qualify locking, credential revocation and task discovery for every executor.",No concurrent competing writers or duplicate allocation after timeout.,Implementation coverage,P1,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G21,Brownfield adoption sequence,25,"Discovery and reviewed adoption are stated, but a complete no-replacement acceptance sequence is not shown.","Provide discovery, ownership freeze, supported import, no-op plan and canary change gates.",PROV,6,Existing service and platform owners,G3 — tenant activation,Inventory live resources and settle existing management ownership.,"Reviewed non-destructive plan, rollback boundary and service checks.",Engineering elaboration,P1,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
