sourceId,sourcePath,sourceVersion,historical,sourceSection,sourceBlock,markdownPath,sourceSha256
IMP04,Implementation_Execution_Guide.docx,Implementation Increment 04,False,Implementation Increment 04,0,docs/implementation/increment-04/01-implementation-increment-04.md,9ca5c85333dcb51137ca694aea7b034e393fa8927831f0b475b3b88e842418f7
IMP04,Implementation_Execution_Guide.docx,Implementation Increment 04,False,Infrastructure ownership and readback coverage,18,docs/implementation/increment-04/02-infrastructure-ownership-and-readback-coverage.md,9ca5c85333dcb51137ca694aea7b034e393fa8927831f0b475b3b88e842418f7
IMP04,Implementation_Execution_Guide.docx,Implementation Increment 04,False,NSX configuration and realization,31,docs/implementation/increment-04/03-nsx-configuration-and-realization.md,9ca5c85333dcb51137ca694aea7b034e393fa8927831f0b475b3b88e842418f7
IMP04,Implementation_Execution_Guide.docx,Implementation Increment 04,False,Nutanix resources and asynchronous tasks,42,docs/implementation/increment-04/04-nutanix-resources-and-asynchronous-tasks.md,9ca5c85333dcb51137ca694aea7b034e393fa8927831f0b475b3b88e842418f7
IMP04,Implementation_Execution_Guide.docx,Implementation Increment 04,False,Interrupted-change decision procedure,53,docs/implementation/increment-04/05-interrupted-change-decision-procedure.md,9ca5c85333dcb51137ca694aea7b034e393fa8927831f0b475b3b88e842418f7
IMP04,Implementation_Execution_Guide.docx,Implementation Increment 04,False,"Transport, credentials and protected evidence",63,docs/implementation/increment-04/06-transport-credentials-and-protected-evidence.md,9ca5c85333dcb51137ca694aea7b034e393fa8927831f0b475b3b88e842418f7
IMP04,Implementation_Execution_Guide.docx,Implementation Increment 04,False,Local execution and observed results,73,docs/implementation/increment-04/07-local-execution-and-observed-results.md,9ca5c85333dcb51137ca694aea7b034e393fa8927831f0b475b3b88e842418f7
IMP04,Implementation_Execution_Guide.docx,Implementation Increment 04,False,Native commissioning and stopping conditions,85,docs/implementation/increment-04/08-native-commissioning-and-stopping-conditions.md,9ca5c85333dcb51137ca694aea7b034e393fa8927831f0b475b3b88e842418f7
IMP04,Implementation_Execution_Guide.docx,Implementation Increment 04,False,Primary native-interface sources,99,docs/implementation/increment-04/09-primary-native-interface-sources.md,9ca5c85333dcb51137ca694aea7b034e393fa8927831f0b475b3b88e842418f7
IMP04,Implementation_Execution_Guide.docx,Implementation Increment 04,False,Release integrity and remaining work,127,docs/implementation/increment-04/10-release-integrity-and-remaining-work.md,9ca5c85333dcb51137ca694aea7b034e393fa8927831f0b475b3b88e842418f7
DEL,reference/Portable_Hosting_Delivery_Kits_v1_1/00_Delivery_Map.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,"1. Three kits, one architecture-led delivery",17,docs/governance/delivery-framework/1-three-kits-one-architecture-led-delivery.md,d8c2790ff7bb408283a9156a369cc6c4394131e7d44bfd130bfa27e7d82b5783
DEL,reference/Portable_Hosting_Delivery_Kits_v1_1/00_Delivery_Map.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,2. Preserve stable deliverables and explicit handoffs,27,docs/governance/delivery-framework/2-preserve-stable-deliverables-and-explicit-handoffs.md,d8c2790ff7bb408283a9156a369cc6c4394131e7d44bfd130bfa27e7d82b5783
DEL,reference/Portable_Hosting_Delivery_Kits_v1_1/00_Delivery_Map.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,3. Apply gate dependencies rather than numerical order,36,docs/governance/delivery-framework/3-apply-gate-dependencies-rather-than-numerical-order.md,d8c2790ff7bb408283a9156a369cc6c4394131e7d44bfd130bfa27e7d82b5783
DEL,reference/Portable_Hosting_Delivery_Kits_v1_1/00_Delivery_Map.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,4. Use working records without creating duplicate truth,45,docs/governance/delivery-framework/4-use-working-records-without-creating-duplicate-truth.md,d8c2790ff7bb408283a9156a369cc6c4394131e7d44bfd130bfa27e7d82b5783
DEL,reference/Portable_Hosting_Delivery_Kits_v1_1/00_Delivery_Map.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,5. Review the design through realistic change and failure,54,docs/governance/delivery-framework/5-review-the-design-through-realistic-change-and-failure.md,d8c2790ff7bb408283a9156a369cc6c4394131e7d44bfd130bfa27e7d82b5783
