id,title,baseTests,chapters,procedure,expected,executionStatus,safety
RA-01,Independent native domain routing,CT-003; CT-009; CT-023; CT-025,8; 16; 17; 18,"For the selected stack, enumerate native connected/distributed routes, defaults, provider/external attachments and upstream advertisements. Exercise the approved flow and its forbidden direct alternatives in both directions.",Only the approved logical ZIP path is usable; native forwarding cannot bypass it.,not-run,Execute only within an authorized representative test environment or explicitly approved production safety envelope.
RA-02,NSX isolated upstream reference,CT-003; CT-024; CT-080,17,"Verify the exact Tier-1, parent/VRF Tier-0, Edge and uplink topology. Review all route propagation and any inter-VRF leaking. Repeat through Edge failure and established-session changes.",Independent domains remain isolated; the approved stateful path and session behaviour match the profile.,not-run,Execute only within an authorized representative test environment or explicitly approved production safety envelope.
RA-03,Nutanix external attachment reference,CT-023; CT-024; CT-031,16,"Check external subnet connected paths, gateway reachability, NAT/no-NAT behaviour and return routing for each domain. Include neighbours and both offered address families.",Sharing physical transport does not create direct VPC-to-VPC or workload-to-management access.,not-run,Execute only within an authorized representative test environment or explicitly approved production safety envelope.
RA-04,OpenStack backend and authority reference,CT-017; CT-021; CT-022; CT-066,18,"Verify chosen backend, Neutron policy, mandatory port/group controls, internal distributed routing and any floating/provider-network alternatives. Recheck after relocation.","Tenant operations cannot remove mandatory isolation, create an unapproved external path or bypass the intended boundary.",not-run,Execute only within an authorized representative test environment or explicitly approved production safety envelope.
RA-05,Physical and platform overlay demarcation,CT-032; CT-033; CT-034,5,"Verify platform tunnel reachability and effective MTU, fabric route/EVPN imports, multihoming failure and vendor handoff. Document all physical versus logical separation assumptions.",Fabric interoperability does not import tenant routes or federate vendor overlays outside approved scope.,not-run,Execute only within an authorized representative test environment or explicitly approved production safety envelope.
RA-06,Bootstrap ownership transition,CT-026; CT-027; CT-055,21; 22,Recover initial access using only the declared independent bootstrap material. Transition to steady-state identity/tooling; revoke temporary credentials and recheck access.,No circular recovery dependency or untracked residual bootstrap privilege remains.,not-run,Execute only within an authorized representative test environment or explicitly approved production safety envelope.
RA-07,Composite provider authority,CT-019; CT-043; CT-044; CT-045,20; 24,"Provision one environment using the hosting, edge and name/address/protection scopes. Demonstrate each identity is denied changes outside its package and a downstream failure is recoverable.",Coordination does not create a shared all-powerful state/identity or destroy shared/data resources on failure.,not-run,Execute only within an authorized representative test environment or explicitly approved production safety envelope.
RA-08,Persistent platform versus temporary transfer networks,CT-035; CT-054; CT-060; CT-076,10; 27,Exercise supported live mobility/replication on provider transport and independently activate/expire a bounded cross-domain transfer connection.,Persistent platform operation remains within its authority; temporary transfer access is removed without dismantling platform foundations.,not-run,Execute only within an authorized representative test environment or explicitly approved production safety envelope.
RA-09,Brownfield non-destructive adoption,CT-044; CT-048; CT-070,25,"Inventory an authorized representative existing scope, confirm single configuration ownership, import/adopt and review the initial plan before mutation.",No unapproved replacement or competing writer is introduced; adoption does not falsely assert compliance.,not-run,Execute only within an authorized representative test environment or explicitly approved production safety envelope.
RA-10,Activation sequencing,CT-006; CT-007; CT-045; CT-069; CT-077,23,"Observe resource creation from reservation through denied network attachment, mandatory controls, internal checks and explicit exposure activation. Introduce a controlled failed activation check.",No unprotected creation window; failed activation withdraws exposure while preserving data-safe recovery.,not-run,Execute only within an authorized representative test environment or explicitly approved production safety envelope.
RA-11,"Compute, management and storage sharing",CT-026; CT-035; CT-037; CT-078,6; 7; 11; 12,"Inspect actual host, management, storage/controller and transport sharing against adopted source tailoring. Test evacuation and copy operations without relying on labels alone.","Actual co-residency and shared dependencies match the approved isolation design, including recovery states.",not-run,Execute only within an authorized representative test environment or explicitly approved production safety envelope.
RA-12,Commissioned capacity and growth boundary,CT-056; CT-071; CT-072; CT-074,4; 22; 26,"Provision within capacity, then exhaust a permitted attachment/resource pool in the test envelope. Follow the separate foundation growth path and reconcile inventory states.",The workflow queues/rejects or selects eligible capacity; it does not rewire the fabric or weaken isolation as an undocumented tenant operation.,not-run,Execute only within an authorized representative test environment or explicitly approved production safety envelope.
