owner,destination,next_hop,next_component
D01O,2001:db8:100:2::/64,2001:db8:200:1::1,EC-01
D01O,2001:db8:300:1::138/128,2001:db8:200:1::1,EC-01
D01O,2001:db8:300:1::139/128,2001:db8:200:1::1,EC-01
D01O,2001:db8:300:1::140/128,2001:db8:200:1::1,EC-01
D01O,2001:db8:300:1::141/128,2001:db8:200:1::1,EC-01
D01R,2001:db8:100:1::/64,2001:db8:200:2::1,EC-01
D01R,2001:db8:300:1::138/128,2001:db8:200:2::1,EC-01
D01R,2001:db8:300:1::139/128,2001:db8:200:2::1,EC-01
D01R,2001:db8:300:1::140/128,2001:db8:200:2::1,EC-01
D01R,2001:db8:300:1::141/128,2001:db8:200:2::1,EC-01
D02O,2001:db8:100:4::/64,2001:db8:200:3::1,EC-02
D02O,2001:db8:300:1::138/128,2001:db8:200:3::1,EC-02
D02O,2001:db8:300:1::139/128,2001:db8:200:3::1,EC-02
D02O,2001:db8:300:1::140/128,2001:db8:200:3::1,EC-02
D02O,2001:db8:300:1::141/128,2001:db8:200:3::1,EC-02
D02R,2001:db8:100:3::/64,2001:db8:200:4::1,EC-02
D02R,2001:db8:300:1::138/128,2001:db8:200:4::1,EC-02
D02R,2001:db8:300:1::139/128,2001:db8:200:4::1,EC-02
D02R,2001:db8:300:1::140/128,2001:db8:200:4::1,EC-02
D02R,2001:db8:300:1::141/128,2001:db8:200:4::1,EC-02
EC-01,2001:db8:100:1::/64,2001:db8:200:1::2,D01O
EC-01,2001:db8:100:2::/64,2001:db8:200:2::2,D01R
EC-02,2001:db8:100:3::/64,2001:db8:200:3::2,D02O
EC-02,2001:db8:100:4::/64,2001:db8:200:4::2,D02R
EC-01,2001:db8:300:1::138/128,2001:db8:200:5::2,SE-01
EC-01,2001:db8:300:1::139/128,2001:db8:200:5::2,SE-01
EC-01,2001:db8:300:1::140/128,2001:db8:200:5::2,SE-01
EC-01,2001:db8:300:1::141/128,2001:db8:200:5::2,SE-01
EC-02,2001:db8:300:1::138/128,2001:db8:200:6::2,SE-02
EC-02,2001:db8:300:1::139/128,2001:db8:200:6::2,SE-02
EC-02,2001:db8:300:1::140/128,2001:db8:200:6::2,SE-02
EC-02,2001:db8:300:1::141/128,2001:db8:200:6::2,SE-02
SE-01,2001:db8:100:1::/64,2001:db8:200:5::1,EC-01
SE-01,2001:db8:100:2::/64,2001:db8:200:5::1,EC-01
SE-02,2001:db8:100:3::/64,2001:db8:200:6::1,EC-02
SE-02,2001:db8:100:4::/64,2001:db8:200:6::1,EC-02
Service endpoint,2001:db8:100:1::/64,2001:db8:300:1::129,SE-01
Service endpoint,2001:db8:100:2::/64,2001:db8:300:1::129,SE-01
Service endpoint,2001:db8:100:3::/64,2001:db8:300:1::130,SE-02
Service endpoint,2001:db8:100:4::/64,2001:db8:300:1::130,SE-02
