id,work,status,increment02_delivery,remaining_evidence,hold_point
I01,"Terraform engine, schemas and mocked plans",BLOCKED_TOOLCHAIN,Verifier now enumerates ten modules and ten roots and exports actual schemas when available.,Install an approved verified binary and packages on the connected toolchain; run actual validation and review locks.,Before any native apply
I02,Selected actual target tuple,OPEN_SITE_DECISION,"No invented firewall, product tuple, project or credentials.",Choose installed hardware/product/API/provider/licence combination and authorized disposable scope.,Before target contact
I03,Effective quarantine,NATIVE_NOT_RUN,Existing domain/workload source plus NSX gateway quarantine candidate; local kernel fixture exercises deny/reply paths.,"Native same-host, distributed, policy-precedence, identity/port and failure observations.",Before workload connection
I04,EC/SE native security edge,PARTIAL_CANDIDATE_SOURCE,Three native exact-route resources and one NSX-specific gateway deny component; disposable EC/SE packet fixture.,"Selected production firewall/context implementation, actual interfaces, identity controls, inspection, HA and complete ZIP equivalence.",Before approved connectivity
I05,Origin-specific service reply routes,LOCAL_PACKET_FIXTURE_PASSED,"Exact fixture replies, missing-route failure and recovery exercised.",Implement in actual service/gateway owner tools and qualify reverse paths with native telemetry.,Before shared-service use
I06,"IPAM, DNS and bootstrap",NOT_IMPLEMENTED_NATIVE,Actual UDP/TCP/fallback DNS in isolated deterministic fixture; no real IPAM/DNS mutations.,"Integrate actual allocations, registration, TTL, DHCP/metadata, name/time/image access.",Before endpoint initialization
I07,"Identity, keys, storage and protection",OPEN_NATIVE_INTEGRATION,Architecture references preserved; no new claims of backup or key integration.,"Actual identities, KMS/PKI/storage/backup clients and isolated restore evidence.",Before service promise
I08,IPv6 native and packet extension,MODEL_ONLY,Dual-family offline graph retained; new Linux packet fixture explicitly IPv4-only.,"Implement offered families and required local protocols across each native stack, edge and service path.",Before native IPv6 offer
I09,"Read-back, drift and uncertain operations",PARTIAL_IMPLEMENTED,Read-only Neutron collector performs exact-ID two-read comparisons over verified HTTPS; local TLS tests passed.,"Inventory-wide coverage, NSX/Nutanix collectors, native task discovery and controlled changes/import/retirement.",Before automated lifecycle use
I10,Activation and initial operating readiness,NOT_IMPLEMENTED_NOT_AUTHORIZED,Safe commissioning hold points documented; no apply/activate automation or issued authorization.,"Accepted G0/G1/G2 plus applicable initial G4 evidence, reversible G3 and post-activation checks.",Before production activation
