id,title,url,review_scope,reviewed
K01,Cloud network security zones (ITSP.80.023),https://www.cyber.gc.ca/en/guidance/cloud-network-security-zones-itsp80023,"Reviewed sections 1–4; supports scoped cloud-zoning and management considerations, not authorization.",2026-09-16
K02,"ITSP.10.033 foreword, overview and introduction",https://www.cyber.gc.ca/en/guidance/cyber-security-privacy-risk-management/itsp10033/foreword-overview-introduction,Reviewed supersession statement; preserve exact control edition rather than silently joining legacy IDs.,2026-09-16
K03,Terraform providers within modules,https://developer.hashicorp.com/terraform/language/modules/develop/providers,Reviewed provider configuration and module boundaries; actual provider support remains environment-specific.,2026-09-16
K04,Terraform dependency lock file,https://developer.hashicorp.com/terraform/language/files/dependency-lock,Reviewed distinction between provider dependency locks and remote module selections.,2026-09-16
K05,Official Nutanix Terraform provider repository,https://github.com/nutanix/terraform-provider-nutanix,"Reviewed README compatibility, feature and lifecycle notes; no provider version selected for a site.",2026-09-16
K06,OpenStack Neutron networking concepts,https://docs.openstack.org/neutron/latest/admin/intro-os-networking.html,"Reviewed security-group/port concepts; latest documentation is a development branch, not a production pin.",2026-09-16
K07,OpenStack OVN reference architecture,https://docs.openstack.org/neutron/latest/admin/ovn/refarch/refarch.html,Reviewed role and routing model; selected distribution/backend must be independently qualified.,2026-09-16
K08,OpenStack Nova host aggregates,https://docs.openstack.org/nova/latest/admin/aggregates.html,Reviewed scheduling/aggregate controls; labels alone do not establish placement enforcement.,2026-09-16
K09,Broadcom KB 442835 — Tier-0 VRF and active-active stateful HA,https://knowledge.broadcom.com/external/article/442835/cannot-add-tier0-vrf-gateway-to-a-tier0.html,"Official KB reviewed; explicit design limitation warrants a tuple-specific engineering check, not a production reconfiguration instruction.",2026-09-16
K10,Guidance on securely configuring network protocols (ITSP.40.062),https://www.cyber.gc.ca/en/guidance/guidance-securely-configuring-network-protocols-itsp40062,Reviewed protocol-configuration scope; approved site configurations remain required.,2026-09-16
K11,Terraform plan command reference,https://developer.hashicorp.com/terraform/cli/commands/plan,Reviewed saved-plan handling; plan outputs can contain sensitive infrastructure values.,2026-09-16
