adr,title,status,originalDecisionIds,sourceId,sourceSection,markdownSource,adrPath
ADR-0003,Let the infrastructure architecture lead the tooling,Proposed,AD-01,RA,1,docs/architecture/reference/1-purpose-scope-and-architectural-authority.md,docs/adr/0003-let-the-infrastructure-architecture-lead-the-tooling.md
ADR-0003,Let the infrastructure architecture lead the tooling,Proposed,AD-01,RA,2,docs/architecture/reference/2-design-drivers-and-selected-reference-pattern.md,docs/adr/0003-let-the-infrastructure-architecture-lead-the-tooling.md
ADR-0003,Let the infrastructure architecture lead the tooling,Proposed,AD-01,RA,29,docs/architecture/reference/29-architecture-decisions-and-alternatives.md,docs/adr/0003-let-the-infrastructure-architecture-lead-the-tooling.md
ADR-0003,Let the infrastructure architecture lead the tooling,Proposed,AD-01,SDP,6,docs/solutions/design-method/6-release-the-architecture-as-an-accountable-engineering-contract.md,docs/adr/0003-let-the-infrastructure-architecture-lead-the-tooling.md
ADR-0004,Scale through commissioned hosting cells and capacity pools,Proposed,AD-02,RA,3,docs/architecture/reference/3-system-context-and-physical-hosting-topology.md,docs/adr/0004-scale-through-commissioned-hosting-cells-and-capacity-pools.md
ADR-0004,Scale through commissioned hosting cells and capacity pools,Proposed,AD-02,RA,4,docs/architecture/reference/4-hosting-cells-resource-pools-and-failure-boundaries.md,docs/adr/0004-scale-through-commissioned-hosting-cells-and-capacity-pools.md
ADR-0004,Scale through commissioned hosting cells and capacity pools,Proposed,AD-02,RA,5,docs/architecture/reference/5-physical-fabric-and-platform-attachment.md,docs/adr/0004-scale-through-commissioned-hosting-cells-and-capacity-pools.md
ADR-0004,Scale through commissioned hosting cells and capacity pools,Proposed,AD-02,QUAL,3,docs/assurance/site-qualification/3-capacity-service-envelopes-and-growth-triggers.md,docs/adr/0004-scale-through-commissioned-hosting-cells-and-capacity-pools.md
ADR-0005,Keep vendor overlays local and connect through controlled handoffs,Proposed,AD-03,RA,5,docs/architecture/reference/5-physical-fabric-and-platform-attachment.md,docs/adr/0005-keep-vendor-overlays-local-and-connect-through-controlled-handoffs.md
ADR-0005,Keep vendor overlays local and connect through controlled handoffs,Proposed,AD-03,RA,15,docs/architecture/reference/15-cross-vendor-realization-model.md,docs/adr/0005-keep-vendor-overlays-local-and-connect-through-controlled-handoffs.md
ADR-0005,Keep vendor overlays local and connect through controlled handoffs,Proposed,AD-03,NET,1,docs/engineering/fabric/1-transport-routing-and-overlay-ownership.md,docs/adr/0005-keep-vendor-overlays-local-and-connect-through-controlled-handoffs.md
ADR-0005,Keep vendor overlays local and connect through controlled handoffs,Proposed,AD-03,VND,6,docs/engineering/platform-realizations/6-portable-composite-and-migrated-service-choices.md,docs/adr/0005-keep-vendor-overlays-local-and-connect-through-controlled-handoffs.md
