id,priority,category,title,classification,status,observation,impact,required_closure,suggested_owner,blocking_claim,evidence,repository_locations
CA-01,P1,Conversion defect,Multiline code loses line breaks,Confirmed,OPEN — audit recommendation; no source changed,Five of thirteen code-style paragraphs lose internal Word breaks: one active NSX command and four historical v1.1 examples. Shell tokenization of the active command adds two spurious single-space arguments. Other adjacent one-line paragraphs are correctly joined.,The narrative-preservation check passes while copied commands/YAML/HCL no longer preserve the source syntax. Historical status does not justify loss of archived source fidelity.,"Preserve Word line breaks, carriage returns, tabs and indentation inside code. Verify all thirteen code paragraphs with a structure-aware independent comparison; add shell-argv and appropriate syntax-only regression tests; do not execute native examples.",Documentation conversion maintainer,Lossless conversion / copyable execution instructions,evidence/independent_fidelity.json; evidence/documentation-check.log,"scripts/convert_word_docs.py:39,297-298; docs/implementation/increment-04/06-transport-credentials-and-protected-evidence.md:29-33; docs/archive/handbook-v1-1/42-terraform-roots-adapters-and-reproducible-inputs.md; docs/archive/handbook-v1-1/71-appendix-b-worked-requests-and-terraform-execution-boundary.md"
CA-02,P1,Verification coverage,Completion checks do not detect changed semantic relationships,Confirmed,OPEN — audit recommendation; no source changed,"In disposable copies the checker passes after swapping Public/PAZ and management treatment cells, reversing ADR-0006 decision text, or marking its rendered page Accepted without an acceptance record. The current delivered table is correct: an independent position-aware check finds no issue in 7,976 table cells.","Text existence, row counts and valid links are insufficient evidence that decision meaning, table associations and displayed authority are preserved. The converter and checker also share the lossy plain-text function.",Compare ordered cells/paragraphs and code structure; reconcile rendered ADR fields to their authoritative records; add negative fixtures that reject all three demonstrated semantic mutations. Report structural consistency separately from semantic coverage.,Documentation/test maintainers,Meaning-preserving validation claim,evidence/mutation_probes.json P01-P03; evidence/independent_fidelity.json,"scripts/check_documentation.py:25-29,75-107,135-149; sources/documentation/adr_records.json; docs/adr/0006-use-an-explicit-governed-zip-for-inter-domain-trust-transitions.md"
CA-03,P1,Operational documentation,Active release-check instruction uses a stale manifest,Confirmed,OPEN — audit recommendation; no source changed,"The active Increment 04 chapter instructs python tools/check_release.py. Fresh execution checks 397 entries and fails on fifteen legitimately updated files. The outer ZIP hash matches the published delivery hash; this is a stale-manifest mismatch, not evidence of tampering.",A reader following the active runbook cannot complete the first integrity gate on the intact release. The older listed-file manifest also does not cover the full 932-file snapshot.,"Preserve old manifests under explicit historical identities. Publish a current snapshot manifest and current command/result scope, or clearly redirect the transcribed runbook to a maintained procedure. Rehearse the active sequence on a fresh extraction.",Release/documentation maintainer,Self-consistent runnable repository release,evidence/legacy-release-check.json; evidence/legacy-release-check.exit; verification.json,docs/implementation/increment-04/08-native-commissioning-and-stopping-conditions.md:26-37; tools/check_release.py:20-48; sources/release_manifest.json
CA-04,P2,Authoring model,Markdown-first maintenance and frozen transcription are not reconciled,Confirmed,OPEN — audit recommendation; no source changed,"Maintenance instructions invite substantive Markdown changes but the checker requires every old source paragraph to remain. A semantically equivalent edited ZIP definition fails P04. Explicit source refresh overwrites chapters from frozen Word; this is documented, but there is no implemented maintained-design revision/delta model.","The current conversion can be reviewed, but a maintainer lacks a clear passing workflow to evolve authoritative Git prose without retaining superseded wording or changing the checker/source scheme.","Choose and record the model: immutable transcriptions plus maintained designs, or maintained Markdown revisions with explicit reviewed deltas from frozen baselines. Separate preservation tests from current-design checks and add an edit/review/regenerate regression.",Architecture document owner and repository maintainer,Maintainable Markdown-first knowledge base,evidence/mutation_probes.json P04,docs/DOCUMENTATION_MIGRATION.md:Edit and regenerate safely; docs/adr/0002-markdown-first-source-backed-documentation.md; scripts/convert_word_docs.py:301-365; scripts/check_documentation.py:75-107
CA-05,P2,ADR governance,Generated ADR lifecycle is hardwired to Proposed,Confirmed,OPEN — audit recommendation; no source changed,"All source-derived ADRs correctly start Proposed. However, the checker rejects every Accepted source record, while the builder hardcodes unrecorded acceptance, unsupplied evidence and Proposed index/crosswalk labels. All 34 source-derived records lack structured owner/authority fields.","Adoption, rejection and supersession cannot be recorded consistently through the normal generated workflow. A proposed status is not itself a defect; the missing lifecycle and authority fields are the completion gap.","Implement an editorial lifecycle with accountable role, actual decision date, accepted scope/evidence and supersession links. Require these for acceptance while preserving all existing records as Proposed until genuine decisions exist. Round-trip the status in JSON, Markdown and indexes.",Architecture authority and documentation maintainer,Governable decision register,"evidence/mutation_probes.json P03,P05; evidence/adr_inventory.csv",scripts/build_documentation.py:82-166; scripts/check_documentation.py:135-149; sources/documentation/adr_records.json; docs/adr/template.md
CA-06,P2,Requested-source scope,Standalone RAD/TAD and solution-design sources remain absent,Confirmed,OPEN — audit recommendation; no source changed,All 28 Word files included in this repository have conversion records. The earlier separately described v1.2 RAD/TAD/solution/transition/as-built family is not present. RAD.md and TAD.md explicitly identify themselves as reading/composition views; no missing public-service solution was reconstructed.,Complete conversion of available files is supportable; complete import of every previously described deliverable is not. Reading views may serve the project if that scope is deliberately accepted.,"Recover the exact missing originals, or explicitly accept the composed views and author any still-required new solution/transition/as-built material under new identities. Record the accepted source scope and do not invent recovered provenance.",Document/service owner,All previously requested document-family content imported,evidence/source_inventory_summary.json,docs/DOCUMENTATION_MIGRATION.md:Missing sources and historical conflicts; docs/architecture/RAD.md:3; docs/engineering/TAD.md:3; sources/documentation/source_inventory.json
CA-07,P2,Audit closure,Historical findings are archived without a finding-by-finding current disposition,Confirmed,OPEN — audit recommendation; no source changed,"F01-F24 are preserved in the audit archive. The active audit reading map links the report and makes no false closure claim, but does not map each finding to current applicability, superseding decisions, delivered treatment and remaining proof.",Readers cannot distinguish a retired custom-contract concern from a continuing infrastructure obligation or a reference-level treatment awaiting native evidence without reconstructing the history.,"Adopt a finding-by-finding disposition register: reference addressed, active carry-forward, legacy implementation not reissued, duplicate/superseded with reason, or open. Bind each to sources and closure evidence; do not mark retired contract defects repaired.",Assurance and architecture owners,Auditable closure of prior document audits,"historical_audit_dispositions.csv (audit-proposed, not approved closure)",docs/archive/audit-v1-1/README.md; docs/assurance/implementation-audit.md; docs/assurance/gap-map/3-detailed-gap-register-and-treatment.md
CA-08,P2,Assurance navigation,Realization addenda are retained but not integrated into the active test index,Confirmed,OPEN — audit recommendation; no source changed,The active test page renders the 80 inherited CT procedures. Twelve RA-01 through RA-12 realization addenda exist in the reference JSON but no active Markdown page references their IDs or file. The twelve W14 assertions do exist in the worked-design chapter; they should not be reported as missing.,"A reader can follow the main test catalogue and overlook platform-specific verification explicitly required by the qualification narrative. This is a discoverability/selection gap, not loss of the underlying JSON.","Add a single test-family index covering CT, RA, W14 and the existing Q11 observations, with original status, scope, dependency and applicability links. Avoid summing overlapping test families as independent executed coverage.",Assurance documentation owner,Complete discoverable qualification specification,evidence/assurance_inventory.json,docs/assurance/test-specifications.md; docs/assurance/registers.md; docs/assurance/site-qualification/5-qualification-stages-applicability-and-evidence.md:16; reference/Portable_Hosting_Delivery_Kits_v1_1/05_Reference_v1_4/registers/realization_verification_addenda.json
CA-09,P2,Engineering handoff,Requirement-to-code links do not establish assertion-level implementation coverage,Confirmed,OPEN — audit recommendation; no source changed,"The 194 requirements, 36 ADRs and code-map sections provide useful navigation. Several ADR implementation targets are directories or scope documents, and the source guidance expressly requires an observation for each compound assertion. There is no complete per-assertion implemented/partial/external/not-built allocation with current evidence.","A link to a module can be mistaken for implementation of co-residency, edge inspection, recovery or authority controls that the module does not supply. Current caveats correctly warn against that inference but do not complete the handoff.","For applicable assertions record enforcement location, configuration owner, exact implementation/installer/operating procedure, verification method, evidence level and open dependency. Preserve externally supplied controls as such; do not invent a controller to satisfy this record.",Platform/network/security engineering and assurance,Implementation-complete engineering release,evidence/source_excerpts.json; completion_matrix.csv,docs/implementation/code-map.md; docs/assurance/site-qualification/5-qualification-stages-applicability-and-evidence.md; docs/assurance/qualification-campaign/6-build-an-evidence-packet-a-reviewer-can-challenge.md; sources/implementation_backlog.csv
CA-10,P1,Terraform validation,Current verifier attempts schema export from uninitialized HTTP-backend roots,Confirmed source-path defect; current engine execution blocked,OPEN — audit recommendation; no source changed,"All ten roots declare an HTTP backend. The verifier calls init -backend=false and then providers schema -json for roots as well as modules, and requires both exports to succeed. The pinned Terraform 1.13.5 implementation loads the backend for schema export and returns an initialization error when configured backend state is absent.","Installing Terraform alone will not repair this gate. The source-inspected root command path is inconsistent with backend-disabled validation. No fresh Terraform execution was possible in this runtime; this finding is based on repository code and exact-version upstream implementation, not a claimed executed failure.",Validate the unchanged roots with backend access disabled; export actual schemas from matching backend-free modules or a reviewed backend-free harness. Update per-scope result semantics and rerun all ten pairs and plan-only mocks. Do not initialize a production backend merely to make validation pass.,Terraform/CI maintainer,Passing backend-independent native engine gate,evidence/toolchain_source_analysis.json; evidence/current-terraform-gate.json; external_sources.json T03-T05,tools/verify_terraform.py:135-195; .github/workflows/validate.yml:terraform job; terraform/roots/*/main.tf.json
