original_finding,source_path,title,proposed_current_disposition,audit_assessment,closure_authority,closure_status,note
F01,docs/archive/audit-v1-1/03-f01-reference-identity-does-not-preserve-tenant-namespace.md,F01  |  Reference identity does not preserve tenant namespace,Legacy contract not reissued; continuing tenancy obligation,The old typed-reference defect is not repaired by prose conversion. Current tenant/domain scope and native identity checks require their own verification.,NOT_RECORDED,NOT_CLOSED_BY_THIS_AUDIT,Proposed audit mapping; owner review is required.
F02,docs/archive/audit-v1-1/04-f02-cross-object-consistency-checks-do-not-cover-the-complete-graph.md,F02  |  Cross-object consistency checks do not cover the complete graph,Legacy contract not reissued; current topology checks partial,"Retain the original graph inconsistency finding. Route models and interface schedules address selected infrastructure relationships, not every old contract invariant.",NOT_RECORDED,NOT_CLOSED_BY_THIS_AUDIT,Proposed audit mapping; owner review is required.
F03,docs/archive/audit-v1-1/05-f03-ipv6-only-is-offered-but-cannot-be-represented-end-to-end.md,F03  |  IPv6-only is offered but cannot be represented end to end,Legacy schema not repaired; family-specific implementation remains open,Current architecture explicitly models service address families; native IPv6 and end-to-end recovery coverage remain target work.,NOT_RECORDED,NOT_CLOSED_BY_THIS_AUDIT,Proposed audit mapping; owner review is required.
F04,docs/archive/audit-v1-1/06-f04-reference-dns-service-is-udp-only.md,F04  |  Reference DNS service is UDP-only,Reference/protocol treatment present; native qualification open,Current DNS documents include TCP and UDP/fallback and code has local fixtures. This is not a repair of the archived schema or native resolver qualification.,NOT_RECORDED,NOT_CLOSED_BY_THIS_AUDIT,Proposed audit mapping; owner review is required.
F05,docs/archive/audit-v1-1/07-f05-flowprofile-protocol-semantics-remain-incomplete.md,F05  |  FlowProfile protocol semantics remain incomplete,Legacy schema outside active implementation scope,Current flow/service records must specify complete protocols. Retired FlowProfile schema remains historically defective unless separately repaired.,NOT_RECORDED,NOT_CLOSED_BY_THIS_AUDIT,Proposed audit mapping; owner review is required.
F06,docs/archive/audit-v1-1/08-f06-security-sensitive-profile-approval-is-not-a-consistent-contract.md,F06  |  Security-sensitive profile approval is not a consistent contract,Reference sharing/authority treatment present; adoption open,Per-layer sharing and explicit approval distinctions exist. Current ADR lifecycle itself needs CA-05; no old schema approval mechanism is fixed.,NOT_RECORDED,NOT_CLOSED_BY_THIS_AUDIT,Proposed audit mapping; owner review is required.
F07,docs/archive/audit-v1-1/09-f07-qualification-lifecycle-differs-between-prose-and-schema.md,F07  |  Qualification lifecycle differs between prose and schema,Legacy state machine not reissued,Current qualification process is separate; do not silently relabel archived lifecycle values as migrated implementation.,NOT_RECORDED,NOT_CLOSED_BY_THIS_AUDIT,Proposed audit mapping; owner review is required.
F08,docs/archive/audit-v1-1/10-f08-qualification-record-cannot-fully-express-qual-001.md,F08  |  Qualification record cannot fully express QUAL-001,Reference qualification tuple specified; actual tuple open,Hardware/product/API/provider/licensing/topology and measured limits still need an actual accepted platform record.,NOT_RECORDED,NOT_CLOSED_BY_THIS_AUDIT,Proposed audit mapping; owner review is required.
F09,docs/archive/audit-v1-1/11-f09-evidence-validation-accepts-incomplete-readiness-assertions.md,F09  |  Evidence validation accepts incomplete readiness assertions,Legacy validator not qualification; current evidence gaps explicit,No archived readiness evaluator is repaired. Current package checks and source-level tests must not become native readiness assertions.,NOT_RECORDED,NOT_CLOSED_BY_THIS_AUDIT,Proposed audit mapping; owner review is required.
F10,docs/archive/audit-v1-1/12-f10-per-control-evidence-trace-is-described-but-not-contracted.md,F10  |  Per-control evidence trace is described but not contracted,Continuing assertion/control allocation work,"Current evidence guidance describes the chain, but CA-09 identifies the missing complete per-assertion implementation/evidence allocation.",NOT_RECORDED,NOT_CLOSED_BY_THIS_AUDIT,Proposed audit mapping; owner review is required.
