id,title,existing_test_ids,procedure_and_control,expected_result_and_artifacts,document_path,bookmark,execution_status,actual_target,observed_result,evidence_reference,reviewer,scope_note
Q11-01,approved path and reply,CT-003; CT-007; CT-024,Verify both endpoints; exercise F14-01. Locate the effective forward and reply path at native gateways and EC-01. Try a separately scoped reverse initiation.,"Declared TCP/443 operation and reply work; unapproved new reverse initiation is denied. Retain path/rule/session evidence, not only an application success.",03_Implementation/Qualification_Campaign_and_Evidence_Procedures.docx,QCP_03,not-run,,,,,"Elaboration of inherited procedures, not a new control or executed result."
Q11-02,tenant isolation,CT-001; CT-002,Prove each tenant’s local approved service. Observe bounded disallowed cross-tenant attempts in both directions and each offered family.,"No unauthorized communication. Record endpoints, intended control, actual routing/policy and attributable denials. Unhealthy controls block the result.",03_Implementation/Qualification_Campaign_and_Evidence_Procedures.docx,QCP_03,not-run,,,,,"Elaboration of inherited procedures, not a new control or executed result."
Q11-03,same-domain policy,CT-021; CT-022,Place the temporary probe in one approved domain; verify same-host/cross-host cases where applicable. Compare approved and unapproved communication.,Mandatory policy applies without requiring a physical gateway hop. Retain placement and enforcement evidence and the probe cleanup receipt.,03_Implementation/Qualification_Campaign_and_Evidence_Procedures.docx,QCP_03,not-run,,,,,"Elaboration of inherited procedures, not a new control or executed result."
Q11-04,shared-service return,CT-008; CT-023; CT-024,Exercise the same resolver from both tenants. Trace each reply through its own SE/EC chain; check unbound service/admin targets and alternative connected paths.,Only entitled service use and origin-specific replies succeed. Retain service-side and edge observations; a shared endpoint is not tenant transit.,03_Implementation/Qualification_Campaign_and_Evidence_Procedures.docx,QCP_03,not-run,,,,,"Elaboration of inherited procedures, not a new control or executed result."
Q11-05,mandatory mutation authority,CT-019; CT-020; CT-022; CT-066,"With the actual tenant role, request forbidden baseline/group/port/external changes. Separately perform one approved workload operation.","Forbidden native mutations fail; entitled operation works. Record principal, target, operation and effective permission without storing secrets.",03_Implementation/Qualification_Campaign_and_Evidence_Procedures.docx,QCP_04,not-run,,,,,"Elaboration of inherited procedures, not a new control or executed result."
Q11-06,data attachment and copy scope,CT-037; CT-078,Create disposable owned data and a known integrity marker. Test authorized access and bounded foreign attachment/clone/export attempts.,"Owned access works; unauthorized data or lower-scope copy access fails. Retain data-service decisions, copy lineage and cleanup.",03_Implementation/Qualification_Campaign_and_Evidence_Procedures.docx,QCP_04,not-run,,,,,"Elaboration of inherited procedures, not a new control or executed result."
Q11-07,identity and key lifecycle,CT-028; CT-038; CT-079,"Use disposable credentials/key material in an approved scope. Observe valid use, rotation/revocation and denied foreign or revoked use.",Required use remains attributable; old authority expires as designed. Retain issuer/service logs and timestamps; no plaintext fallback.,03_Implementation/Qualification_Campaign_and_Evidence_Procedures.docx,QCP_04,not-run,,,,,"Elaboration of inherited procedures, not a new control or executed result."
Q11-08,service protocols and MTU,CT-008; CT-030; CT-031; CT-032,"Exercise DNS UDP/TCP and controlled fallback; check authorized resolver only. Test actual workload packet budget, PMTU and offered families end to end.","Necessary protocol behaviour works without broad egress or alternate-path bypass. Retain family/path matrix, packet budget and observed outcomes.",03_Implementation/Qualification_Campaign_and_Evidence_Procedures.docx,QCP_04,not-run,,,,,"Elaboration of inherited procedures, not a new control or executed result."
Q11-09,edge or link loss,CT-012; CT-024; CT-034,"Under approved representative load, observe the selected node/link failure and restoration using the site MOP. Capture new and established sessions.",Security: no bypass. Service: actual interruption and surviving load. Recovery: correct route/state after restoration.,03_Implementation/Qualification_Campaign_and_Evidence_Procedures.docx,QCP_05,not-run,,,,,"Elaboration of inherited procedures, not a new control or executed result."
Q11-10,dependency loss,CT-011; CT-027; CT-038; CT-050; CT-055,"Observe one scoped management, identity, key, logging or state dependency loss at a time; follow its accepted recovery procedure.",No fallback privilege/permit/plaintext. Existing and new operations match the documented limits. Evidence gaps and recovery time remain visible.,03_Implementation/Qualification_Campaign_and_Evidence_Procedures.docx,QCP_05,not-run,,,,,"Elaboration of inherited procedures, not a new control or executed result."
Q11-11,uncertain provisioning outcome,CT-045; CT-046; CT-048,"In a disposable scope, interrupt a response or executor at an approved point. Freeze competing writes; discover actual native tasks and resources before recovery.","No duplicate allocation or unsafe deletion. Denied unfinished resources remain owned. Retain task, plan, state and actual-outcome reconciliation.",03_Implementation/Qualification_Campaign_and_Evidence_Procedures.docx,QCP_05,not-run,,,,,"Elaboration of inherited procedures, not a new control or executed result."
Q11-12,isolated restore and cutover,CT-052; CT-053; CT-054; CT-060,"Restore a known disposable dataset and dependencies into the authorized recovery domain; validate consistency, identity/keys and paths before controlled activation.","Useful data and measured RTO/RPO; no ambiguous simultaneous writer; protection, return path and operating ownership survive cutover.",03_Implementation/Qualification_Campaign_and_Evidence_Procedures.docx,QCP_05,not-run,,,,,"Elaboration of inherited procedures, not a new control or executed result."
